"","LIST-ID","EDCS-ID","EDH-ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude"
"11",467895,"EDCS-28600148","HD060173",101,200,"[------] / [---]I(?)I(?) pientissimae / L(ucius) Epidius Rufi/nianus maritus","II pientissimae Lucius Epidius Rufinianus maritus","epitaph","epitaph","tabula","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri","44.115501","15.223778"
"12",467896,"EDCS-28600149","HD063250",151,300,"D(is) M(anibus) / M(arco) Flavio / Primo / Flavius Epic/tetus patro/no b(ene) m(erenti)","Dis Manibus Marco Flavio Primo Flavius Epictetus patrono bene merenti","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Salonae","Split","liberti/libertae, tria nomina, viri","43.5384","16.4743"
"13",467901,"EDCS-28600156","HD060175",151,300,"D(is) M(anibus) / Iulio Claudia/no fil(io) an(norum) V[--] / [------] / [------","Dis Manibus Iulio Claudiano filio annorum V","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri","44.115501","15.223778"
"14",467911,"EDCS-28600168","HD062148",1,150,"M(arcus) Poblicius / M(arci) f(ilius) Aquila an(norum) II","Marcus Poblicius Marci filius Aquila annorum II","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Scardona","Skradin","tria nomina, viri","43.8227","15.9208"
"15",467916,"EDCS-28600173","HD060187",1,150,"M(arco) Servenio / Punico posuit / M(arcus) Servenius / Doctus fil(ius)","Marco Servenio Punico posuit Marcus Servenius Doctus filius","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri","44.115501","15.223778"
"16",467919,"EDCS-28600177","HD060188",171,300,"D(is) M(anibus) / Toria Sec/unda Publ/icio Meno/filo con(iugi) su/o b(ene) m(erenti) titu/lum posuit","Dis Manibus Toria Secunda Publicio Menofilo coniugi suo bene merenti titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri","44.115501","15.223778"
"17",467924,"EDCS-28600182","HD060150",151,300,"D(is) M(anibus) // Vesidiae Cr/escentillae / {AE} defuncta&lt;e=I&gt; / annorum / XXV / Vesidia Cassia / mater filiae i/nfelicissi/ma&lt;e=I&gt; ","Dis Manibus Vesidiae Crescentillae AE defuncta lt e gt annorum XXV Vesidia Cassia mater filiae infelicissima lt e gt","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Salonae","Solin","mulieres, tria nomina","43.5384","16.4743"
"18",467927,"EDCS-28600185","HD062951",1,150,"C(aius) Volusius Primi/genius VIvir / vivos(!) fecit sibi et / C(aio) Volusio Euhemero / conlibert(o) VIvir(o) Aug(ustali) et / C(aio) Volusio Primigenio f(ilio) defunc(to) / annor(um) VIII libertis libertabusq(ue) / suis ossibus inferendis extranior(um) / nequis ossa inferre velit et tu et / tibi / in fr(onte) p(edes) XXX in / agr(o) p(edes) XXX","Caius Volusius Primigenius VI vir vivos fecit sibi et Caio Volusio Euhemero conliberto VI viro Augustali et Caio Volusio Primigenio filio defuncto annorum VIII libertis libertabus que suis ossibus inferendis extraniorum nequis ossa inferre velit et tu et tibi in fronte pedes XXX in agro pedes XXX","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Salonae","Solin","liberti/libertae, seviri Augustales, tria nomina, viri","43.5384","16.4743"
"19",467930,"EDCS-27800690","HD018333",101,300,"Dis Asca(enis) et / Matri Magn(a)e / Ian(a)e [l(ibens)] m(erito)","Dis Ascaenis et Matri Magnae Ianae libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Oneum","Omiš",NA,"43.4422","16.7019"
"20",467931,"EDCS-30600011","HD061998",151,300,"D(is) M(anibus) / Fortunatae / quae vixit ann(os) XVIII / Maximus Ianua/ri TITVSLAT suae / delicatae et sibi / p(osuit) l(ibens)(?)","Dis Manibus Fortunatae quae vixit annos XVIII Maximus Ianuari TITVSLAT suae delicatae et sibi posuit libens","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare, viri","43.4422","16.7019"
"21",467932,"EDCS-30600012","HD061999",151,300,"D(is) M(anibus) / Maximinae filiae infelici / Domitia mater / b(ene) m(erenti)","Dis Manibus Maximinae filiae infelici Domitia mater bene merenti","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare","43.4422","16.7019"
"22",467933,"EDCS-30600013","HD061997",151,300,"Petronius et / mater Maximilla / Titivillae / defunctae ann(orum) XXX / filiae infelicissimae / titulum posuerunt","Petronius et mater Maximilla Titivillae defunctae annorum XXX filiae infelicissimae titulum posuerunt","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare, tria nomina, viri","43.4422","16.7019"
"23",467935,"EDCS-30900002","HD061786",1,600,"------ Her?]mero&lt;t&gt;is(?) [------","Hermero lt t gt is","NULL",NA,"NULL","Dalmatia","Dalmatia","?","Iader","Zadar",NA,"44.115501","15.223778"
"24",467936,"EDCS-30900003","HD061787",1,600,"------]CLO[------","CLO","NULL",NA,"NULL","Dalmatia","Dalmatia","?","Iader","Zadar",NA,"44.115501","15.223778"
"25",467946,"EDCS-00380791","HD039984",171,230,"D(is) M(anibus) / Cl(audius) Eutyches / [C]l(audii) Catul(l)i Galli c(larissimi) / v(iri) / lib(ertus) sibi et Rosulae / [------","Dis Manibus Claudius Eutyches Claudii Catulli Galli clarissimi viri libertus sibi et Rosulae","epitaph","epitaph","stele","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","liberti/libertae, servi/servae, tria nomina","43.9667","19.5333"
"26",467947,"EDCS-30600086","HD043454",101,300,"Lib(ero) P(atri) / T(itus) Aurel(ius) / Proculus / l(ibens) p(osuit)","Libero Patri Titus Aurelius Proculus libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","tria nomina, viri","43.9667","19.5333"
"27",467948,"EDCS-10101992","HD035365",286,305,"Imp(eratori) C(aesari) Cai[o] / Val(erio) Diocleti/ano et Imp(eratori) C(aesari) C/aio Valerio / Maximiano PP(iis) FF(elicibus) / perpetuis princi/{nc}(p)ibus","Imperatori Caesari Caio Valerio Diocletiano et Imperatori Caesari Caio Valerio Maximiano PPiis FFelicibus perpetuis princincpibus","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Asseria","Asseria","Benkovac","Augusti/Augustae, viri","44.0103","15.6844"
"28",467949,"EDCS-10101993","HD035366",305,311,"------] / [Caes(ari)] / nobil(issimo) / b(ono) r(ei) p(ublicae) n(ato)","Caesari nobilissimo bono rei publicae nato","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Asseria","Asseria","Benkovac","Augusti/Augustae, viri","44.0103","15.6844"
"29",467950,"EDCS-30800055","HD059947",1,300,"I(ovi) O(ptimo) M(aximo) / Statius / Victor Bri/zidia v(oto) l(ibens) p(osuit)","Iovi Optimo Maximo Statius Victor Brizidia voto libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Babin Potok / Babispotok / Municipium Splonistarum","Municipium S[---]","Pljevlja","tria nomina, viri","43.3424","19.3204"
"30",467951,"EDCS-06100486","HD018339",151,230,"I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Caius Billianius Severus beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri","43.9667","19.5333"
"31",467952,"EDCS-30600088","HD043582",101,300,"I(ovi) O(ptimo) M(aximo) / T(itus) Aur(elius) Mena[n?]d(er?) / [------","Iovi Optimo Maximo Titus Aurelius Menander","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","tria nomina, viri","43.9667","19.5333"
"32",467953,"EDCS-30800071","HD062059",171,300,"[---]LVA[---] / [---]atis AE(?)[---]","LVA atis AE","building/dedicatory inscription","building/dedicatory inscription","architectural member","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta",NA,"43.9667","19.5333"
"33",467954,"EDCS-10100514","HD033777",151,300,"I(ovi) O(ptimo) [M(aximo)] / [I]uno[ni] / Minerv[ae] / [-] Ael(ius) Apri[lis] / [b(ene)]f(iciarius) co(n)s(ularis) [v(otum)? s(olvit)?] / l(ibens) m(erito)","Iovi Optimo Maximo Iunoni Minervae Aelius Aprilis beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri","43.9667","19.5333"
"34",467955,"EDCS-28600203","HD055435",306,307,"DD(ominis) nn(ostris) G(alerio) V(alerio) / Maximiano / et F(lavio) Severo / [in]v[ic]t[i]s Au[gg(ustis)]","DDominis nnostris Galerio Valerio Maximiano et Flavio Severo invictis Auggustis","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Bakarac","NULL","Kraljevica","Augusti/Augustae, viri","45.2794773","14.5827323"
"35",467956,"EDCS-30400559","HD055363",276,276,"Imp(erator) / Caes(ar) / M(arcus) Annius / Florianus / P(ius) F(elix) Aug(ustus) {S}","Imperator Caesar Marcus Annius Florianus Pius Felix Augustus S","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Bakarac","NULL","Kraljevica","Augusti/Augustae, viri","45.2794773","14.5827323"
"36",467957,"EDCS-32300087","HD055434",284,305,"Imp(eratori) Caes(ari) / [Ca]io Valer/io Diocle/tiano Pio / [F(elici)] Aug(usto)","Imperatori Caesari Caio Valerio Diocletiano Pio Felici Augusto","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Bakarac","NULL","Kraljevica","Augusti/Augustae, viri","45.2794773","14.5827323"
"37",467958,"EDCS-32700972","HD033668",101,300,"Imp(eratori) / Caes/ari / [------","Imperatori Caesari","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Bakarac","NULL","Kraljevica","Augusti/Augustae, viri","45.2794773","14.5827323"
"38",467959,"EDCS-59500033","HD072545",151,300,"[I(ovi)?] O(ptimo?) [M(aximo)?] / [P]etroni[--] / [------","Iovi Optimo Maximo Petroni","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Baljci","Municipium Magnum","Ružić","viri","43.8047","16.2988"
"39",467960,"EDCS-70600078","HD072544",1,200,"[Iu]noni / [---] Ael(ia) / [---]uaria / [v(otum) s(olvit)] l(ibens) m(erito)","Iunoni Aelia uaria votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Baljci","Municipium Magnum","Ružić","mulieres, tria nomina","43.8047","16.2988"
"40",467961,"EDCS-32201030","HD052469",151,300,"I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo et Genio loci Lucius Sicinius Macrinus beneficiarius consularis Pannoniae superioris votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Banja Luka / Castra","Castra","Banja Luka","milites, tria nomina, viri","44.785","17.0998"
"41",467962,"EDCS-27500180","HD053673",201,300,"D(is) M(anibus) / M(arcus) Allius / Firminus / Ursino f(ilio) / C(ai) Septimi / Carpop(h)o/ri delica/to infeli/cissimo p(uero) / naufragio / obito an(norum) XI / cuius mem/bra consum&lt;p&gt;/sit maris(!) per / se quot nomen / titulus praestat / suisq(ue) dolo/rem","Dis Manibus Marcus Allius Firminus Ursino filio Cai Septimi Carpophori delicato infelicissimo puero naufragio obito annorum XI cuius membra consum lt p gt sit maris per se quot nomen titulus praestat suis que dolorem","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","nomen singulare, tria nomina, viri","43.3582543","16.9482271"
"42",467963,"EDCS-27500181","HD053674",151,300,"D(is) M(anibus) / Allia M A(?) / P ET coniugi(?) / IMET P [------?","Dis Manibus Allia M A P ET coniugi IMET P","epitaph","epitaph","sarcophagus","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres","43.3582543","16.9482271"
"43",467964,"EDCS-27500182","HD053675",201,300,"D(is) M(anibus) // Aur(elia) Messilla / filio infelicis/simo suo qui / vixxit(!) p(lus) m(inus) / an(nos) III Aur(elia) Mes/soria titulu/m posuit","Dis Manibus Aurelia Messilla filio infelicissimo suo qui vixxit plus minus annos III Aurelia Messoria titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, tria nomina, viri","43.3582543","16.9482271"
"44",467965,"EDCS-27500183","HD053676",151,300,"D(is) M(anibus) / Firmin(a)e / infelici i/nconpar/abili(!) uxso/ri(!) Victor / posuit / b(ene) m(erenti)","Dis Manibus Firminae infelici inconparabili uxsori Victor posuit bene merenti","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, nomen singulare, viri","43.3582543","16.9482271"
"45",467966,"EDCS-27500184","HD053677",201,300,"D(is) M(anibus) / V(alerius) Max(imus) et C(ornelia?) Vera / cum dolum tantum / haberent de Valerio / delicato quam ut fi/lio infelicissimo iu/veni d(ulcissimo) ann(orum) XXIIII / dunc(!) dolum habe/rit(!) C(ornelia?) Vende/mia de marito Vale/rio et socero p(uero) p(ientissimo) / titulum posuit","Dis Manibus Valerius Maximus et Cornelia Vera cum dolum tantum haberent de Valerio delicato quam ut filio infelicissimo iuveni dulcissimo annorum XXIIII dunc dolum haberit Cornelia Vendemia de marito Valerio et socero puero pientissimo titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, nomen singulare, tria nomina, viri","43.3582543","16.9482271"
"46",467967,"EDCS-20601173","HD039803",271,330,"D(is) [M(anibus)] // Vet(tio) Iunian[o] / qui vixit an[n(os) --] / Allia Messia [ma]/rito bene mere(nti) [p(osuit)]","Dis Manibus Vettio Iuniano qui vixit annos Allia Messia marito bene merenti posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, tria nomina, viri","43.3582543","16.9482271"
"47",467968,"EDCS-10100758","HD034068",1,300,"------] / [---]ii dec(urio) m(u)n(icipii) [---] / [---]o patri suo [---] / [---] matri cari[ssimae ---] / [---]a posueru[nt]","ii decurio municipii o patri suo matri carissimae a posuerunt","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Bastasi / Municipium Salvium","NULL","Bosansko Grahovo","mulieres, ordo decurionum, viri","44.0718561","16.6582352"
"48",467969,"EDCS-10100759","HD027061",1,150,"------]/tori fili/o infelici/ssimo de/c(urioni) m(unicipii) def(uncto) / an(norum) XXV / [------","tori filio infelicissimo decurioni municipii defuncto annorum XXV","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Bastasi / Municipium Salvium","NULL","Bosansko Grahovo","ordo decurionum, viri","44.0718561","16.6582352"
"49",467970,"EDCS-10100760","HD034069",101,300,"------]nus / [---] Ael(iae?) Urs[ulae?] / [--- e]t sibi p[osuit] / [------] / [------","nus Aeliae Ursulae et sibi posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Bastasi / Municipium Salvium","NULL","Bosansko Grahovo","mulieres, viri","44.0718561","16.6582352"
"50",467971,"EDCS-10100761","HD034070",131,300,"------] / [---] posu[it ---] / [---] Aelia [---] / [---]re co[niugi ---] / su[o]","posuit Aelia re coniugi suo","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Bastasi / Municipium Salvium","NULL","Bosansko Grahovo","mulieres, viri","44.0718561","16.6582352"
"51",467973,"EDCS-10100763","HD034072",1,300,"------]ic(---) viv/[---] su(a)e(?) p(osuit?)","ic viv suae posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Bastasi / Municipium Salvium","NULL","Bosansko Grahovo",NA,"44.0718561","16.6582352"
"52",467975,"EDCS-28600201","HD061783",239,239,NA,"Imperatori Caesari Marco Antonio Gordiano Pio Felici Augusto pontifici maximo tribunicia potestate II consuli patri patriae res publica decreto decurionum XXIII",NA,NA,NA,"Dalmatia",NA,"Beli / Caisole / Crexa",NA,NA,"Augusti/Augustae, viri","45.1107075","14.3551777"
"53",467976,"EDCS-27800515","HD042090",131,170,"D(is) M(anibus) / M(arcus) Lusius Ce/rdo sibi et / co(n)iugi suae / vivis pos(uit)","Dis Manibus Marcus Lusius Cerdo sibi et coniugi suae vivis posuit","epitaph","epitaph","stele","Dalmatia","Moesia inferior","Beli / Caisole / Crexa","Nicopolis ad Istrum","Polski Trâmbeš","mulieres, tria nomina, viri","43.7009","24.8947"
"54",467977,"EDCS-10101962","HD035315",1,70,"Campiae [---] / co(n)iugi ka[rissimae ---] / [------","Campiae coniugi karissimae","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Beli / Caisole / Crexa","Crexa","Cres","mulieres, viri","45.112","14.3542"
"55",467978,"EDCS-57200182","HD056492",1,150,"[---]as / [---]ti/ [---]sell / [---]esc / [---]ori","as ti sell esc ori","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac",NA,"44.0103","15.6844"
"56",467979,"EDCS-57200180","HD057596",1,50,"(H)elviae L(uci) f(iliae) / Maximillae / L(ucius) Cassius / p(osuit)","Helviae Luci filiae Maximillae Lucius Cassius posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","mulieres, praenomen et nomen, tria nomina, viri","44.0103","15.6844"
"57",467980,"EDCS-57200181","HD057597",51,200,"Lupae Ka/ninioru/m Ursio / frater / p(osuit)","Lupae Kaniniorum Ursio frater posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","mulieres, nomen singulare, servi/servae, viri","44.0103","15.6844"
"58",467981,"EDCS-57200184","HD057598",51,200,"L(ucio) Papirio Rufo S(---) / L(ucius) Papirius Didim(us)(!) / pater f(ilio) se viv(o) / posuit","Lucio Papirio Rufo S Lucius Papirius Didimus pater filio se vivo posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","tria nomina, viri","44.0103","15.6844"
"59",467982,"EDCS-57200183","HD057573",51,200,"Baebiae / Saturninae / Iulia Iadestina / amicae et sodali / bene meritae / viva posuit","Baebiae Saturninae Iulia Iadestina amicae et sodali bene meritae viva posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","mulieres, tria nomina","44.0103","15.6844"
"60",467983,"EDCS-72200021","HD059931",63,68,"Fin[i]s inter Neditas et Corinienses / derectus mensuris actis iussu / [A(uli) Du]ceni Gemini leg(ati) per A(ulum) Resium / Maximum |(centurionem) leg(ionis) XI principem / posteriorem co(ho)[r(tis)] I et per [Q(uintum)] A[e]butium / Liberalem |(centurionem) eiusdem leg(ionis) (h)astatum / posteriorem c(o)hor(tis) I","Finis inter Neditas et Corinienses derectus mensuris actis iussu Auli Duceni Gemini legati per Aulum Resium Maximum centurionem legionis XI principem posteriorem cohortis I et per Quintum Aebutium Liberalem centurionem eiusdem legionis hastatum posteriorem cohortis I","boundary inscription","boundary inscription","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Corinium","Novigrad","milites, ordo senatorius, tria nomina, viri","44.1075","15.6256"
"61",467984,"EDCS-30301453","HD057593",101,171,"D(is) M(anibus) // T(ito) Publicio Sa&lt;t=I&gt;/urnino &lt;f=E&gt;r(atri) om/n&lt;i=L&gt;bus honor(ibus) / patri(a)e suae fun/c&lt;t=I&gt;o S&lt;t=I&gt;ennia Fau/s&lt;t=I&gt;ina soror ","Dis Manibus Tito Publicio Sa lt t gt urnino lt f gt ratri omn lt i gt bus honoribus patriae suae func lt t gt o S lt t gt ennia Faus lt t gt ina soror","epitaph","epitaph","altar","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac, bei","mulieres, ordo decurionum, tria nomina, viri","44.0103","15.6844"
"62",467985,"EDCS-10100455","HD027022",131,200,"I(ovi) O(ptimo) M(aximo) / T(itus) Ael(ius) Cel/sinus / dec(urio) l(ibens) p(osuit) // COR(---) // ALB(---)","Iovi Optimo Maximo Titus Aelius Celsinus decurio libens posuit COR ALB","votive inscription","votive inscription","altar","Dalmatia","Moesia superior","Benkovac / Asseria","NULL","Klinë / Klina","ordo decurionum, tria nomina, viri","44.0333509","15.6125528"
"63",467986,"EDCS-31400377","HD057708",249,251,"Imp(eratori) Q(uinto) / Messio / Deccio(!) / Traian(o)","Imperatori Quinto Messio Deccio Traiano","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Berkovina","NULL","Han Pijesak","Augusti/Augustae, viri","44.086667","18.870278"
"64",467987,"EDCS-31400378","HD057709",248,251,"Imp(eratori) &lt;Q=O&gt;(uinto) / Messio / Deccio(!) / Traiano ","Imperatori lt Q gt uinto Messio Deccio Traiano","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Berkovina","NULL","Han Pijesak","Augusti/Augustae, viri","44.086667","18.870278"
"65",467989,"EDCS-09400591","HD010870",1,300,"RVSI[--] / MACIV[--] / CIVSIV[--] / [---]nibus","RVSI MACIV CIVSIV nibus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bicine / Bicina","Nedinum","Polača, bei",NA,"44.0721","15.5095"
