"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","inscription","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude"
"11",2930,470949,"EDCS-27601582","HD054719",14,37,"[3 Cor]nelio C(ai) f(ilio) Tro(mentina) N[3] / [praef(ecto) fab]r(um) bis trib(uno) mil(itum) bis leg(ionis) [3] / [corona] aurea et hasta pura a [Ti(berio) Caesare] / [di]vi Augusti f(ilio) Augusto d[onato]","------](?) / [--- Cor]nelio C(ai) f(ilio) Tro(mentina) N[---] / [praef(ecto) fab]r(um) bis trib(uno) mil(itum) bis leg(ionis) [---] / [corona] aurea et hasta pura a [Ti(berio) Caesare] / [di]vi Augusti f(ilio) Augusto do[nato] / [------","Cornelio Cai filio Tromentina N praefecto fabrum bis tribuno militum bis legionis corona aurea et hasta pura a Tiberio Caesare divi Augusti filio Augusto donato","honorific inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","Augusti/Augustae, milites, ordo equester, tria nomina, viri",43.5384,16.4743
"12",796,468751,"EDCS-28300036","HD058819",1,41,"Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / ex leg(ione) VII h(ic) s(itus) e(st) / testamento / fieri iussit","Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / [ex leg(ione) VII h(ic) s(itus) e(st)] / [testam]en[to] / [fieri] iussit","Cnaeus Domitius Cnaei filius Velina Pessinunte annorum XLIV stipendiorum XXV veteranus ex legione VII hic situs est testamento fieri iussit","epitaph","stele","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj","milites, tria nomina, viri",43.6139,16.689
"13",1729,469712,"EDCS-30600566","HD058381",1,41,"L(ucius) Herenni/us L(uci) f(ilius) Pap(iria) / M<y=U>liade / vet(eranus) leg(ionis) VII / an(norum) LX sti(pendiorum) / XXX h(ic) s(itus) e(st)","L(ucius) Herenni/us L(uci) f(ilius) Pap(iria) / Muliade(!) / vet(eranus) leg(ionis) VII / an(norum) LX sti(pendiorum) / XXX h(ic) s(itus) e(st)","Lucius Herennius Luci filius Papiria Muliade veteranus legionis VII annorum LX stipendiorum XXX hic situs est","epitaph","cliff","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški, bei","milites, praenomen et nomen, viri",43.1818,17.5271
"14",1736,469719,"EDCS-31900305","HD058380",1,41,"L(ucius) Domitius L(uci) f(ilius) A<n=II>(iensi) / Aquila vet(eranus) leg(ionis) VII / domo Myliada(!) / stip(endiorum) XXXIII vi(vus) fe[c(it)] sib(i) / et C(aio) Domitio [L(uci) f(ilio)] A[n(iensi)] / [A]qui[l]ino mil(iti) [le]g(ionis) V[II] / stip(endiorum) XX h(onesta) m(issione) [m(isso) 3] / [6] / [6] / [3]A[3] / [3]V[3] fecit","L(ucius) Domitius L(uci) f(ilius) Ann(iensi) / Aquila vet(eranus) leg(ionis) VII / domo Myliada(!) / stip(endiorum) XXXIII vi(vus) fe[cit] sib(i) / et C(aio) Domitio [---] An(iensi) / [A]qui[l]ino(?) mil(iti) [l]eg(ionis) V[II] / [s]tip(endiorum) XX h(onesta) m(issione) [---] / [------] / [------] / [---]A[---] / [---]V[---]","Lucius Domitius Luci filius Anniensi Aquila veteranus legionis VII domo Myliada stipendiorum XXXIII vivus fecit sibi et Caio Domitio Aniensi Aquilino militi legionis VII stipendiorum XX honesta missione A V","epitaph","cliff","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","milites, tria nomina, viri",43.1818,17.5271
"15",2945,470964,"EDCS-27601590","HD054808",1,41,"Q(uinto) Hortensio / Q(uinti) f(ilio) vet(erano) leg(ionis) / VII h(ic) s(itus) e(st) / Hortensia / Q(uinti) f(ilia) Quarta et / L(ucius) Corellius I[u]c/undus patri posuere","Q(uinto) Hortensio / Q(uinti) f(ilio) vet(erano) leg(ionis) / VII h(ic) s(itus) e(st) / Hortensia / Q(uinti) f(ilia) Quarta et / L(ucius) Corellius I[u]c/undus patri / posuere","Quinto Hortensio Quinti filio veterano legionis VII hic situs est Hortensia Quinti filia Quarta et Lucius Corellius Iucundus patri posuere","epitaph","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, mulieres, praenomen et nomen, tria nomina, viri",43.5384,16.4743
"16",3636,471688,"EDCS-28700941","HD062488",1,41,"C(aius) Asurius mil(es) / leg(ionis) VII |(centuria) Trini / ann(orum) XXXV stip(endiorum) XIV / domo Florentia / Severa lib(erta) / pos(u)it","C(aius) Asurius mil(es) / leg(ionis) VII |(centuria) Trini / ann(orum) XXXV stip(endiorum) XIV / domo Florentia / Severa lib(erta) / pos(u)it","Caius Asurius miles legionis VII centuria Trini annorum XXXV stipendiorum XIV domo Florentia Severa liberta posuit","epitaph","stele","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","liberti/libertae, milites, mulieres, praenomen et nomen, viri",43.5384,16.4743
"17",5206,473461,"EDCS-10101054","HD034435",1,41,"L(ucius) Arruntius / domo Pasimoae / anno(rum) LV / [vet(eranus) leg(ionis)] VII h(ic) s(itus) e(st) / [testament]o fieri iussit / [","L(ucius) Arruntius / domo Pasimoae(!) / anno(rum) LV / [vet(eranus)? leg(ionis)] VII h(ic) s(itus) e(st) / [testament]o fieri iussit / [------","Lucius Arruntius domo Pasimoae annorum LV veteranus legionis VII hic situs est testamento fieri iussit","epitaph","stele","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, praenomen et nomen, viri",43.5384,16.4743
"18",6215,474671,"EDCS-10100892","HD034294",1,41,"C(aius) Iulius C(ai) f(ilius) / Fab(ia) Ninica / mil(es) leg(ionis) VII / an(norum) XXXIX stip(endiorum) / XVII h(ic) s(itus) e(st) / hospes resis[te et] tumulum / contempla meum lege et / moratus iam scies quae / debeas vixi qua potui ca/rus sumo deorum hic su/m sepultus hic ossua re/quiescunt mea vale et / benefacito vitae dum fa/tum venit // Faustus l(ibertus) patrono","C(aius) Iulius C(ai) f(ilius) / Fab(ia) Ninica / mil(es) leg(ionis) VII / an(norum) XXXIX stip(endiorum) / XVII h(ic) s(itus) e(st) / hospes resis[te et] tumulum / contempla meum lege et / moraris iam scies quae / debeas vixi qua potui ca/rus sum Opiorum hic su/m sepultus hic ossua(!) re/quiescum(!) mea vale et / bene facito vitae dum fa/tum venit / Faustus l(ibertus) patrono","Caius Iulius Cai filius Fabia Ninica miles legionis VII annorum XXXIX stipendiorum XVII hic situs est hospes resiste et tumulum contempla meum lege et moraris iam scies quae debeas vixi qua potui carus sum Opiorum hic sum sepultus hic ossua requiescum mea vale et bene facito vitae dum fatum venit Faustus libertus patrono","epitaph","stele","Dalmatia","Dalmatia","Trilj / Tilurium","Tilurium","Trilj","liberti/libertae, milites, nomen singulare, tria nomina, viri",43.6139,16.689
"19",6221,474677,"EDCS-03300743","HD040156",1,41,"L(ucius) Attius <L=I>(uci) <f=E>(ilius) Sergi(a) / Augusta / an(norum) XXX st(ipendiorum) VIII / mil(es) leg(ionis) VII / h(ic) s(itus) es(t)","L(ucius) Attius L(uci) f(ilius) Sergi(a) / Augusta / an(norum) XXX st(ipendiorum) VIII / mil(es) leg(ionis) VII / h(ic) s(itus) es(t)","Lucius Attius Luci filius Sergia Augusta annorum XXX stipendiorum VIII miles legionis VII hic situs est","epitaph","stele","Dalmatia","Dalmatia","Trilj / Tilurium","Tilurium","Trilj","milites, praenomen et nomen, viri",43.6139,16.689
"20",6382,474843,"EDCS-26600673","HD051071",1,41,"M(arcus) Heredius M(arci) f(ilius) Pal(atina) / veteranus leg(ionis) VII / h(ic) s(itus) est fecit / Faustus l(ibertus)","M(arcus) Heredius M(arci) f(ilius) Pal(atina) / veteranus leg(ionis) VII / h(ic) s(itus) est fecit / Faustus l(ibertus)","Marcus Heredius Marci filius Palatina veteranus legionis VII hic situs est fecit Faustus libertus","epitaph","stele","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, milites, nomen singulare, praenomen et nomen, viri",43.0801,17.625
"21",6611,475080,"EDCS-14800171","HD039866",1,41,"L(ucius) Ancharenus Q(uinti) f(ilius) / Ser(gia) Laranda mil(es) / leg(ionis) VII ann(orum) XL stip(endiorum) XXI / h(ic) s(itus) e(st) / Q(uintus) Ancharenus haec tanquam / posuit tibi dona frater quia / longe a patria te cecidisse dolet / optaram vivo potius dare vina / me tib(i) non obito care ferenda / tuo si quicquam sentire potes / [pro te]mpore nostro damus haec / ostica sit tibi terra levis frater / fratri posuit","L(ucius) Ancharenus Q(uinti) f(ilius) / Ser(gia) Laranda mil(es) / leg(ionis) VII ann(orum) XL stip(endiorum) XXI / h(ic) s(itus) e(st) / Q(uintus) Ancharenus haec tan[---?] / posuit tibi dona frater quia / longe a patria te cecidisse dolet / optaram vivo potius dare vi[na] / [---] non obito care ferenda / tuo si quicquam sentire potes / [---]mpore nostro damus haec / o[---] sit tibi terra levis frater / fratri posuit","Lucius Ancharenus Quinti filius Sergia Laranda miles legionis VII annorum XL stipendiorum XXI hic situs est Quintus Ancharenus haec tan posuit tibi dona frater quia longe a patria te cecidisse dolet optaram vivo potius dare vina non obito care ferenda tuo si quicquam sentire potes mpore nostro damus haec o sit tibi terra levis frater fratri posuit","epitaph","stele","Dalmatia","Dalmatia","Vojnic Sinjski / Tilurium","Tilurium","Trilj","milites, praenomen et nomen, tria nomina, viri",43.6139,16.689
"22",6724,475193,"EDCS-28400165","HD060145",1,41,"T(ito) Elvio Sca(ptia) Marino / IIIIvir(o) Altini / T(itus) Elvius T(iti) f(ilius) Salinator / |(centurio) leg(ionis) VII patri / in fronte p(edes) XXX in agro p(edes) XXX / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","T(ito) (H)elvio Sca(ptia) Marino / IIIIvir(o) Altini / T(itus) (H)elvius T(iti) f(ilius) Salinator / |(centurio) leg(ionis) VII patri / in fronte p(edes) XXX in agro p(edes) XXX / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Tito Helvio Scaptia Marino IIII viro Altini Titus Helvius Titi filius Salinator centurio legionis VII patri in fronte pedes XXX in agro pedes XXX hoc monumentum heredem non sequetur","epitaph","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","milites, ordo decurionum, tria nomina, viri",43.9393,15.4483
"23",1320,469289,"EDCS-28400134","HD053670",37,41,"L[3] / [3]nus Laco / [cent(urio?)] leg(ionis) VII iudex / [3 datu]s ex convent/[ione eo]r(um) ab L(ucio) Volu[sio] / Saturnino le[g(ato)] / [p]ro pr(aetore) C(ai) Caesari[s] / [A]ugusti Germ[a]/[ni]ci inter Ned[i]/[tas et","------]nus Laco / [cent(urio)? l]eg(ionis) VII iudex / [--- datu]s ex convent/[ione eo]r(um) ab L(ucio) Volus[io] / Saturnino le[g(ato)] / [p]ro pr(aetore) C(ai) Caesari[s] / [A]ugusti Germ[a]/[ni]ci inter Ned[i]/[tas et ------","nus Laco centurio legionis VII iudex datus ex conventione eorum ab Lucio Volusio Saturnino legato pro praetore Cai Caesaris Augusti Germanici inter Neditas et","NULL","NULL","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Benkovac","Augusti/Augustae, milites, ordo senatorius, tria nomina",44.1075,15.6256
"24",1597,469579,"EDCS-30800082","HD041864",37,41,"L(ucius) Trebius / Secundus pr/aef(e)ctus castr/orum inter / Onastinos et / Narestinos ter/minos pos(u)it ius/su L(uci) Volusi Satu/rni(ni) leg(ati) pro pr/aetore C(ai) [[C[ae]]]/[[s[ar]is A[ugusti]]] / [[G[erm]anici]] ex / senten{ten}ti/a quam i(i)s a<d=T>h/i<b=R>ito consi/lio dixit","L(ucius) Trebius / Secundus pr/aef(e)ctus castr/orum inter / Onastinos et / Narestinos ter/minos pos(u)it ius/su L(uci) Volusi Satu/rnini leg(ati) pro pr/aetore C(ai) [[C[ae]]]/[[s[ar]is A[ugusti]]] / [[G[erm]anici]] ex / senten{ten}ti/a quam i(i)s ath/i&lt;b=R&gt;ito(!) consi/lio dixit ","Lucius Trebius Secundus praefectus castrorum inter Onastinos et Narestinos terminos posuit iussu Luci Volusi Saturnini legati pro praetore Cai Caesaris Augusti Germanici ex sentententia quam iis athi lt b gt ito consilio dixit","boundary inscription","cippus","Dalmatia","Dalmatia","Krug, Jesenice","Nareste","Dugi Rat","Augusti/Augustae, milites, ordo senatorius, tria nomina, viri",43.4592662,16.6289431
"25",6132,474588,"EDCS-29500345","HD041949",37,41,"Vib]ullius t[rib(unus?)] / [le]g(ionis) VII et L(ucius) Sa[l]/[vius] M(arcus) Sueto ce[n]/[t]uriones leg(ionis) X[I] / [iu]dices d[a]ti ex / [co]<n=M>ventione a / [L(ucio) V]olusio Satur/[ni]no leg(ato) pro pr(aetore) / [C(ai) C]aesaris Aug(usti) / [Ger]manici inter / [3]tine[s] e[t 3]","------?] / [- Vib]ullius T[---] / [le]g(ionis) VII et L(ucius) Sal[vi]/[us] M(arci) Sueto ce[n]/[t]uriones leg(ionis) X[I] / [iu]dices dati ex / [co]&lt;n=M&gt;ventione a / [L(ucio) V]olusio Satur/[n]ino leg(ato) pro pr(aetore) / [C(ai)] Caesaris Aug(usti) / [Ger]manici inter / [---] RV[---] ","Vibullius T legionis VII et Lucius Salvius Marci Sueto centuriones legionis XI iudices dati ex co lt n gt ventione a Lucio Volusio Saturnino legato pro praetore Cai Caesaris Augusti Germanici inter RV","boundary inscription","cippus","Dalmatia","Dalmatia","Tepljuh / Promona","Promona","Promina","Augusti/Augustae, milites, ordo equester, ordo senatorius, praenomen et nomen, viri",43.8955,16.2114
"26",6316,474776,"EDCS-30301374","HD053672",40,41,"L(ucius) Arruntius / Cami[ll]us Scri/b[o]nia[n]us le[g(atus)] pro / pr(aetore) C(ai) [C]ae[s]aris Aug(usti) / Germanici iudicem / dedit M(anium) Coelium |(centurionem) / leg(ionis) VII inter Sapuates / e[t La]matinos(?) ut fines / [reg]eret et termin<o=V>s po[n(eret)]","L(ucius) Arruntius / Cami[ll]us Scri/b[o]nia[n]us le[g(atus)] pro / pr(aetore) C(ai) [C]ae[s]aris Aug(usti) / Germanici iudicem / dedit M(anium) Coelium |(centurionem) / leg(ionis) VII inter Sapuates / e[t La]matinos(?) ut fines / [reg]eret et termin&lt;o=V&gt;s po[n(eret)] ","Lucius Arruntius Camillus Scribonianus legatus pro praetore Cai Caesaris Augusti Germanici iudicem dedit Manium Coelium centurionem legionis VII inter Sapuates et Lamatinos ut fines regeret et termin lt o gt s poneret","boundary inscription","cliff","Dalmatia","Dalmatia","Vagan","NULL","Šipovo","Augusti/Augustae, milites, ordo senatorius, tria nomina, viri",44.1539086,17.1746449
"27",2940,470959,"EDCS-27601587","HD054776",41,41,"L(ucio) Praec[i]l[i]o L(uci) f(ilio) Clementi / Iuliano / pontif(ici) quinquennal(i) desig(nato) / flamini patrono coloniae / primipilari leg(ionis) V Macedonicae / praefecto castrorum / leg(ionis) eiusdem veterani qui / militaver(unt) sub P(ublio) Me<mm=NT>i{n}o Re/gulo legato August{al}i et mis/si sunt Q(uinto) <F=E>u{te}tio Lusio Saturni/no M(arco) Seio Verano co(n)s(ulibus) curam geren/tibus Ti(berio) Claudio Celso Ti(beri) Aug(usti) [l(iberto?)] / Combio M(arco) Tauritio Marcellino / l(ocus) d(atus) p(ublice)","L(ucio) Praec[i]l[i]o L(uci) f(ilio) Clementi / Iuliano / pontif(ici) quinquennal(i) desig(nato) / flamini patrono coloniae / primipilari leg(ionis) V Macedonicae / praefecto castrorum / leg(ionis) eiusdem veterani qui / militaver(unt) sub P(ublio) Memmio Re/gulo legato Augusti et mis/si sunt Q(uinto) &lt;F=E&gt;u{te}tio Lusio Saturni/no M(arco) Seio Verano co(n)s(ulibus) curam geren/tibus Ti(berio) Claudio Celso Ti(beri) Aug(usti) / COMBIO M(arco) Tauritio Marcellino / l(ocus) d(atus) p(ublice) ","Lucio Praecilio Luci filio Clementi Iuliano pontifici quinquennali designato flamini patrono coloniae primipilari legionis V Macedonicae praefecto castrorum legionis eiusdem veterani qui militaverunt sub Publio Memmio Regulo legato Augusti et missi sunt Quinto lt F gt utetio Lusio Saturnino Marco Seio Verano consulibus curam gerentibus Tiberio Claudio Celso Tiberi Augusti COMBIO Marco Tauritio Marcellino locus datus publice","honorific inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","liberti/libertae, milites, ordo decurionum, ordo equester, ordo senatorius, sacerdotes pagani, tria nomina, viri",43.5384,16.4743
"28",285,468218,"EDCS-30200434","HD031512",1,42,"M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brix{s}ia / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brixsia(!) / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","Marcus Domitius Marci filius Fabia Severus Brixsia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit","epitaph","stele","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936
"29",678,468631,"EDCS-00380801","HD039996",1,42,"C(aius) Iulius C(ai) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / ann(orum) XLV stip(endiorum) XXV / h(ic) s(itus) e(st) / C(aius) Mummius p(osuit)","C(aius) Iulius C(ai) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / ann(orum) XLV stip(endiorum) / XXV h(ic) s(itus) e(st) / C(aius) Mummius p(osuit)","Caius Iulius Cai filius Velina domo Pessinunte veteranus legionis VII annorum XLV stipendiorum XXV hic situs est Caius Mummius posuit","epitaph","stele","Dalmatia","Dalmatia","Dugopolje / Salona","Salonae","Dugopolje","milites, praenomen et nomen, viri",43.5384,16.4743
"30",819,468774,"EDCS-30100406","HD054439",1,42,"C(aius) Longinus C(ai) f(ilius) / Cor(nelia) Amblada / mil(es) leg(ionis) VII an(norum) XL / stip(endiorum) XXI h(ic) s(itus) e(st) / frater fratri","C(aius) Longin(i)us C(ai) f(ilius) / Cor(nelia) Amblada / mil(es) leg(ionis) VII an(norum) XL / stip(endiorum) XXI h(ic) s(itus) e(st) / frater fratri","Caius Longinius Cai filius Cornelia Amblada miles legionis VII annorum XL stipendiorum XXI hic situs est frater fratri","epitaph","stele","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj","milites, praenomen et nomen, viri",43.6139,16.689
