"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","inscription","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"11",16,467919,"EDCS-28600177","HD060188",171,300,"D(is) M(anibus) / Toria Sec/unda Publ/icio Meno/filo con(iugi) su/o b(ene) m(erenti) titu/lum posuit","D(is) M(anibus) / Toria Sec/unda Publ/icio Meno/filo con(iugi) su/o b(ene) m(erenti) titu/lum posuit","Dis Manibus Toria Secunda Publicio Menofilo coniugi suo bene merenti titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri",43.9393,15.4483,1
"12",19,467930,"EDCS-27800690","HD018333",101,300,"Dis Asca(niis) et / Matri Magn(a)e / Ianae [l(ibens)] m(erito)","Dis Asca(enis) et / Matri Magn(a)e / Ian(a)e [l(ibens)] m(erito)","Dis Ascaenis et Matri Magnae Ianae libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Oneum","Omiš",NA,43.4422,16.7019,1
"13",20,467931,"EDCS-30600011","HD061998",151,300,"D(is) M(anibus) / Fortunatae / quae vixit ann(os) XVIII / Maximus Ianua/ri TITVSLAT suae / delicatae et sibi / p(ecunia?) l(egata?)","D(is) M(anibus) / Fortunatae / quae vixit ann(os) XVIII / Maximus Ianua/ri TITVSLAT suae / delicatae et sibi / p(osuit) l(ibens)(?)","Dis Manibus Fortunatae quae vixit annos XVIII Maximus Ianuari TITVSLAT suae delicatae et sibi posuit libens","epitaph","epitaph",NA,"Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare, viri",43.4422,16.7019,1
"14",21,467932,"EDCS-30600012","HD061999",151,300,"D(is) M(anibus) / Maximinae filiae infelici / Domitia mater / b(ene) m(erenti)","D(is) M(anibus) / Maximinae filiae infelici / Domitia mater / b(ene) m(erenti)","Dis Manibus Maximinae filiae infelici Domitia mater bene merenti","epitaph","epitaph",NA,"Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare",43.4422,16.7019,1
"15",22,467933,"EDCS-30600013","HD061997",151,300,"Petronius et / mater Maximilla / Titivillae / defunctae ann(orum) XXX / filiae infelicissimae / titulum posuerunt","Petronius et / mater Maximilla / Titivillae / defunctae ann(orum) XXX / filiae infelicissimae / titulum posuerunt","Petronius et mater Maximilla Titivillae defunctae annorum XXX filiae infelicissimae titulum posuerunt","epitaph","epitaph",NA,"Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare, tria nomina, viri",43.4422,16.7019,1
"16",23,467935,"EDCS-30900002","HD061786",1,600,"]MEROIS[","------ Her?]mero&lt;t&gt;is(?) [------","Hermero lt t gt is",NA,NA,NA,"Dalmatia","Dalmatia","?","Iader","Zadar",NA,43.9393,15.4483,1
"17",24,467936,"EDCS-30900003","HD061787",1,600,"]CLO[","------]CLO[------","CLO",NA,NA,NA,"Dalmatia","Dalmatia","?","Iader","Zadar",NA,43.9393,15.4483,1
"18",25,467946,"EDCS-00380791","HD039984",171,230,"D(is) M(anibus) / Cl(audi) Butici et Q(uinti) / [C]l(audi) Catul(l)i Cale[3] / lib(ertus) ser(vus) t<i=E>(tulum) posu(i)t","D(is) M(anibus) / Cl(audius) Eutyches / [C]l(audii) Catul(l)i Galli c(larissimi) / v(iri) / lib(ertus) sibi et Rosulae / [------","Dis Manibus Claudius Eutyches Claudii Catulli Galli clarissimi viri libertus sibi et Rosulae","epitaph","epitaph","stele","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","liberti/libertae, servi/servae, tria nomina",43.9667,19.5333,1
"19",26,467947,"EDCS-30600086","HD043454",101,300,"Lib(ero) P(atri) / T(itus) Aurel(ius) / Proculus / l(ibens) p(osuit)","Lib(ero) P(atri) / T(itus) Aurel(ius) / Proculus / l(ibens) p(osuit)","Libero Patri Titus Aurelius Proculus libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","tria nomina, viri",43.9667,19.5333,1
"20",29,467950,"EDCS-30800055","HD059947",1,300,"I(ovi) O(ptimo) M(aximo) / Statius / Victor Bri/<s=Z>idia v(oto) l(ibens) p(osuit)","I(ovi) O(ptimo) M(aximo) / Statius / Victor Bri/zidia v(oto) l(ibens) p(osuit)","Iovi Optimo Maximo Statius Victor Brizidia voto libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Babin Potok / Babispotok / Municipium Splonistarum","Municipium S[---]","Pljevlja","tria nomina, viri",43.3424,19.3204,1
"21",30,467951,"EDCS-06100486","HD018339",151,230,"I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Caius Billianius Severus beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"22",31,467952,"EDCS-30600088","HD043582",101,300,"I(ovi) O(ptimo) M(aximo) / T(itus) Aur(elius) Mena(n)d/[er","I(ovi) O(ptimo) M(aximo) / T(itus) Aur(elius) Mena[n?]d(er?) / [------","Iovi Optimo Maximo Titus Aurelius Menander","votive inscription","votive inscription",NA,"Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","tria nomina, viri",43.9667,19.5333,1
"23",33,467954,"EDCS-10100514","HD033777",151,300,"I(ovi) O(ptimo) [M(aximo)] / [I]uno[ni] / Minerv[ae] / [3] Ael(ius) Aper / [b(ene)]f(iciarius) co(n)s(ularis) / l(ibens) m(erito)","I(ovi) O(ptimo) [M(aximo)] / [I]uno[ni] / Minerv[ae] / [-] Ael(ius) Apri[lis] / [b(ene)]f(iciarius) co(n)s(ularis) [v(otum)? s(olvit)?] / l(ibens) m(erito)","Iovi Optimo Maximo Iunoni Minervae Aelius Aprilis beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"24",38,467959,"EDCS-59500033","HD072545",151,300,"[I(ovi)] O(ptimo) [M(aximo)] / [1]etroni[us]","[I(ovi)?] O(ptimo?) [M(aximo)?] / [P]etroni[--] / [------","Iovi Optimo Maximo Petroni","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Baljci","Municipium Magnum","Ružić","viri",43.8047,16.2988,1
"25",39,467960,"EDCS-70600078","HD072544",1,200,"[Iu]noni / [3] Ael(ia) / [3]uaria / [v(otum) s(olvit)] l(ibens) m(erito)","[Iu]noni / [---] Ael(ia) / [---]uaria / [v(otum) s(olvit)] l(ibens) m(erito)","Iunoni Aelia uaria votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Baljci","Municipium Magnum","Ružić","mulieres, tria nomina",43.8047,16.2988,1
"26",40,467961,"EDCS-32201030","HD052469",151,300,"I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo et Genio loci Lucius Sicinius Macrinus beneficiarius consularis Pannoniae superioris votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Banja Luka / Castra","Castra","Banja Luka","milites, tria nomina, viri",44.785,17.0998,1
"27",41,467962,"EDCS-27500180","HD053673",201,300,"D(is) M(anibus) / M(arcus) Allius / Firminus / Ursino f(ilio) / C(ai) Septimi / Carpopo/ri delica/to infeli/cissimo p(uero) / naufragio / obito an(norum) XI / cuius mem/bra consum/sit maris per / se quot nomen / titulus praestat / suisq(ue) dolorem","D(is) M(anibus) / M(arcus) Allius / Firminus / Ursino f(ilio) / C(ai) Septimi / Carpop(h)o/ri delica/to infeli/cissimo p(uero) / naufragio / obito an(norum) XI / cuius mem/bra consum&lt;p&gt;/sit maris(!) per / se quot nomen / titulus praestat / suisq(ue) dolo/rem","Dis Manibus Marcus Allius Firminus Ursino filio Cai Septimi Carpophori delicato infelicissimo puero naufragio obito annorum XI cuius membra consum lt p gt sit maris per se quot nomen titulus praestat suis que dolorem","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Baska Voda",NA,"Baška Voda","nomen singulare, tria nomina, viri",43.3582543,16.9482271,1
"28",42,467963,"EDCS-27500181","HD053674",151,300,"D(is) M(anibus) / Allia M A / P et Conia C T / IM et P","D(is) M(anibus) / Allia M A(?) / P ET coniugi(?) / IMET P [------?","Dis Manibus Allia M A P ET coniugi IMET P","epitaph","epitaph","sarcophagus","Dalmatia","Dalmatia","Baska Voda",NA,"Baška Voda","mulieres",43.3582543,16.9482271,1
"29",43,467964,"EDCS-27500182","HD053675",201,300,"D(is) M(anibus) / Aur(elia) Messilla / filio infelicis/simo suo qui / vix{x}it p(lus) m(inus) / an(nos) III Aur(elia) Mes/soria titulu/m posuit","D(is) M(anibus) // Aur(elia) Messilla / filio infelicis/simo suo qui / vixxit(!) p(lus) m(inus) / an(nos) III Aur(elia) Mes/soria titulu/m posuit","Dis Manibus Aurelia Messilla filio infelicissimo suo qui vixxit plus minus annos III Aurelia Messoria titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda",NA,"Baška Voda","mulieres, tria nomina, viri",43.3582543,16.9482271,1
"30",44,467965,"EDCS-27500183","HD053676",151,300,"D(is) M(anibus) / Firmin(a)e / infelici i/nco<m=N>par/abili ux{s}o/ri Victor / posuit / b(ene) m(erenti)","D(is) M(anibus) / Firmin(a)e / infelici i/nconpar/abili(!) uxso/ri(!) Victor / posuit / b(ene) m(erenti)","Dis Manibus Firminae infelici inconparabili uxsori Victor posuit bene merenti","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Baska Voda",NA,"Baška Voda","mulieres, nomen singulare, viri",43.3582543,16.9482271,1
"31",45,467966,"EDCS-27500184","HD053677",201,300,"D(is) M(anibus) / V(alerius?) Max(imus) et C(laudia?) Vera / cum dolum tantum / haberent de Valerio / delicato quam ut fi/lio infelicissimo iu/veni d(ulcissimo) ann(orum) XXIIII / dunc dolum habe/rit C(laudia) Vende/mia de marito Vale/rio et socero p(uero) p(ientissimo) / titulum posuit","D(is) M(anibus) / V(alerius) Max(imus) et C(ornelia?) Vera / cum dolum tantum / haberent de Valerio / delicato quam ut fi/lio infelicissimo iu/veni d(ulcissimo) ann(orum) XXIIII / dunc(!) dolum habe/rit(!) C(ornelia?) Vende/mia de marito Vale/rio et socero p(uero) p(ientissimo) / titulum posuit","Dis Manibus Valerius Maximus et Cornelia Vera cum dolum tantum haberent de Valerio delicato quam ut filio infelicissimo iuveni dulcissimo annorum XXIIII dunc dolum haberit Cornelia Vendemia de marito Valerio et socero puero pientissimo titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda",NA,"Baška Voda","mulieres, nomen singulare, tria nomina, viri",43.3582543,16.9482271,1
"32",46,467967,"EDCS-20601173","HD039803",271,330,"D(is) [M(anibus)] / Vet(tio) Iunian[o] / qui vixit an[n(os) 3] / Allia Messia [ma]/rito bene mere(nti) [p(osuit)]","D(is) [M(anibus)] // Vet(tio) Iunian[o] / qui vixit an[n(os) --] / Allia Messia [ma]/rito bene mere(nti) [p(osuit)]","Dis Manibus Vettio Iuniano qui vixit annos Allia Messia marito bene merenti posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda",NA,"Baška Voda","mulieres, tria nomina, viri",43.3582543,16.9482271,1
"33",47,467968,"EDCS-10100758","HD034068",1,300,"]II dec(urio) m(u)n(icipii) [3] / [3]O patri suo [3] / [3] matri cari[ssimae 3] / [3]A posueru[nt]","------] / [---]ii dec(urio) m(u)n(icipii) [---] / [---]o patri suo [---] / [---] matri cari[ssimae ---] / [---]a posueru[nt]","ii decurio municipii o patri suo matri carissimae a posuerunt","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bastasi / Municipium Salvium",NA,"Bosansko Grahovo","mulieres, ordo decurionum, viri",44.0718561,16.6582352,1
"34",48,467969,"EDCS-10100759","HD027061",1,150,"]/tori fili/o infelici/ssimo de/c(urioni) m(unicipii) def(uncto) / an(norum) XXV / [","------]/tori fili/o infelici/ssimo de/c(urioni) m(unicipii) def(uncto) / an(norum) XXV / [------","tori filio infelicissimo decurioni municipii defuncto annorum XXV","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bastasi / Municipium Salvium",NA,"Bosansko Grahovo","ordo decurionum, viri",44.0718561,16.6582352,1
"35",49,467970,"EDCS-10100760","HD034069",101,300,"]nus / [3] Ael(iae) Urs[ulae(?)] / [3 e]t sibi p[osuit] / [3]i","------]nus / [---] Ael(iae?) Urs[ulae?] / [--- e]t sibi p[osuit] / [------] / [------","nus Aeliae Ursulae et sibi posuit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bastasi / Municipium Salvium",NA,"Bosansko Grahovo","mulieres, viri",44.0718561,16.6582352,1
"36",50,467971,"EDCS-10100761","HD034070",131,300,"] posu[it 3] / [3] Aelia [3] / [3]RE co[niugi 3] / su[o]","------] / [---] posu[it ---] / [---] Aelia [---] / [---]re co[niugi ---] / su[o]","posuit Aelia re coniugi suo","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bastasi / Municipium Salvium",NA,"Bosansko Grahovo","mulieres, viri",44.0718561,16.6582352,1
"37",51,467973,"EDCS-10100763","HD034072",1,300,"]IC viv(us?) / [3] su(a)e p(osuit)","------]ic(---) viv/[---] su(a)e(?) p(osuit?)","ic viv suae posuit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bastasi / Municipium Salvium",NA,"Bosansko Grahovo",NA,44.0718561,16.6582352,1
"38",52,467977,"EDCS-10101962","HD035315",1,70,"Campiae [3] / co(n)iugi ka[rissimae","Campiae [---] / co(n)iugi ka[rissimae ---] / [------","Campiae coniugi karissimae","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Beli / Caisole / Crexa","Crexa","Cres","mulieres, viri",45.112,14.3542,1
"39",53,467978,"EDCS-57200182","HD056492",1,150,"]as / [3]ti / [3]sell / [3]esc / [3]ori","[---]as / [---]ti/ [---]sell / [---]esc / [---]ori","as ti sell esc ori","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac",NA,44.0103,15.6844,1
"40",54,467979,"EDCS-57200180","HD057596",1,50,"(H)elviae L(uci) f(iliae) / Maximillae / L(ucius) Cassius / p(osuit)","(H)elviae L(uci) f(iliae) / Maximillae / L(ucius) Cassius / p(osuit)","Helviae Luci filiae Maximillae Lucius Cassius posuit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","mulieres, praenomen et nomen, tria nomina, viri",44.0103,15.6844,1
"41",55,467980,"EDCS-57200181","HD057597",51,200,"Lupae Ka/ninioru/m Ursio / frater / p(osuit)","Lupae Ka/ninioru/m Ursio / frater / p(osuit)","Lupae Kaniniorum Ursio frater posuit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","mulieres, nomen singulare, servi/servae, viri",44.0103,15.6844,1
"42",56,467981,"EDCS-57200184","HD057598",51,200,"L(ucio) Papirio Rufo S() / L(ucius) Papirius Didim(us!) / pater f(ilio) se viv(o) / posuit","L(ucio) Papirio Rufo S(---) / L(ucius) Papirius Didim(us)(!) / pater f(ilio) se viv(o) / posuit","Lucio Papirio Rufo S Lucius Papirius Didimus pater filio se vivo posuit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","tria nomina, viri",44.0103,15.6844,1
"43",57,467982,"EDCS-57200183","HD057573",51,200,"Baebiae / Saturninae / Iulia Iadestina / amicae et sodali / bene meritae / viva posuit","Baebiae / Saturninae / Iulia Iadestina / amicae et sodali / bene meritae / viva posuit","Baebiae Saturninae Iulia Iadestina amicae et sodali bene meritae viva posuit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac","mulieres, tria nomina",44.0103,15.6844,1
"44",59,467984,"EDCS-30301453","HD057593",101,171,"D(is) M(anibus) / T(ito) Publicio Sa<t=I>/urnino <f=E>r(atri) om/n<i=L>bus honor(ibus) / patri(a)e suae fun/c<t=I>o S<t=I>ennia Fau/s<t=I>ina soror","D(is) M(anibus) // T(ito) Publicio Sa&lt;t=I&gt;/urnino &lt;f=E&gt;r(atri) om/n&lt;i=L&gt;bus honor(ibus) / patri(a)e suae fun/c&lt;t=I&gt;o S&lt;t=I&gt;ennia Fau/s&lt;t=I&gt;ina soror ","Dis Manibus Tito Publicio Sa lt t gt urnino lt f gt ratri omn lt i gt bus honoribus patriae suae func lt t gt o S lt t gt ennia Faus lt t gt ina soror","epitaph","epitaph","altar","Dalmatia","Dalmatia","Benkovac / Asseria","Asseria","Benkovac, bei","mulieres, ordo decurionum, tria nomina, viri",44.0103,15.6844,1
"45",62,467989,"EDCS-09400591","HD010870",1,300,"[3]rusi[3]/maciu[s] / [3]cius Iu[3] / [3]nibus","RVSI[--] / MACIV[--] / CIVSIV[--] / [---]nibus","RVSI MACIV CIVSIV nibus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bicine / Bicina","Nedinum","Polača, bei",NA,44.0721,15.5095,1
"46",63,467990,"EDCS-20601177","HD039811",1,300,"]ag[3]a / [3 e]q(ues?) coh(ortis) I Bel(garum) / [ar]m(orum) custos / [tur(ma)] Maximi / [an(norum) 3] stip(endiorum) XXIII / [","------] / [---]AG[---]A / [--- e]q(ues?) coh(ortis) I Bel(garum) / [ar]m(orum) custos / [tur(ma)?] Maximi / [an(norum)? ---] stip(endiorum) XXIII / [------","AG A eques cohortis I Belgarum armorum custos turma Maximi annorum stipendiorum XXIII","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"47",64,467991,"EDCS-20601178","HD039812",1,100,"Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) e(st) h(eres) p(osuit)","Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) est h(eres) p(osuit)","Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"48",65,467992,"EDCS-20601179","HD039821",1,100,"Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(orum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) Tiro dec(urio) et Crispus / Caturonis","Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(norum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) / Tiro dec(urio) et Crispus / Caturonis","Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annnorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"49",73,468000,"EDCS-20601174","HD039805",1,100,"C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vete(ranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt)","C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vet(eranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt)","Caius Licinius Cai filius Fabia domo Sinope veteranus legionis VII annorum L stipendiorum XXVII hic situs est heredes posuerunt","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, praenomen et nomen, viri",43.1818,17.5271,1
"50",74,468001,"EDCS-20601176","HD039810",1,300,"]elius Ma[3] / [3]p domo R[3] / [3 ve]t(eranus) leg(ionis) VII / [3 st]ip(endiorum) XXVIIII / [an]n(orum) LXII fili[o] / [eius e]t patrono v(otum) / [p]osuit [et] matri","------] / [---]elius Ma[---] / [---]P domo R[---] / [ve]t(eranus) leg(ionis) VII [---] / [--- s]tip(endiorum) XXVIII [---?] / [an]n(os) LXII fili[o] / [--- e]t Patrono V(?) / [--- p]osuit matri","elius Ma P domo R veteranus legionis VII stipendiorum XXVIII annos LXII filio et Patrono V posuit matri","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste",NA,"Ljubuški","liberti/libertae, milites, tria nomina, viri",43.182222,17.528889,1
"51",75,468002,"EDCS-20601175","HD004491",14,37,"L(ucius) Luc[3] / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","------](?) / L(ucius) Luc[---](?) / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) // t(estamento) f(ieri) i(ussit)","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, tria nomina, viri",43.1818,17.5271,1
