"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","inscription","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"11",75,468002,"EDCS-20601175","HD004491",14,37,"L(ucius) Luc[3] / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","------](?) / L(ucius) Luc[---](?) / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) // t(estamento) f(ieri) i(ussit)","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, tria nomina, viri",43.1818,17.5271,1
"12",80,468007,"EDCS-30000206","HD058591",131,200,"D(is) [M(anibus)] / Novellia [3] / sibi et L(ucio) Iul(io) [3] / marito op[timo] / vet(erano) coh(ortis) VIII [vol(untariorum)] / et cognationi su/ae et liberisque eorum","D(is) [M(anibus)] / Novellia [---] / sibi et L(ucio) Iul(io) [---] / marito op[timo] / vet(erano) coh(ortis) VIII [vol(untariorum)] / et cognationi su/ae et lib(ertis) liberisque eorum","Dis Manibus Novellia sibi et Lucio Iulio marito optimo veterano cohortis VIII voluntariorum et cognationi suae et libertis liberis que eorum","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bihac / Raetinium","Siculi","Kaštela","milites, mulieres, viri",43.5306,16.3004,1
"13",81,468008,"EDCS-30000207","HD058592",42,100,"T(itus?) Octavius T(iti) f(ilius) / Vel(ina) Hister vet(eranus) / leg(ionis) XI C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) et / Acrini contuber/nali / in f(ronte) ped(es) X / in agr(o) ped(es) XI","T(itus) Octavius T(iti) f(ilius) / Vel(ina) Hister vet(eranus) / leg(ionis) XI C(laudiae) p(iae) f(idelis) t(estamento) f(ieri) i(ussit) et / Acrini contuber/nali / in f(ronte) ped(es) X / in agr(o) ped(es) XI","Titus Octavius Titi filius Velina Hister veteranus legionis XI Claudiae piae fidelis testamento fieri iussit et Acrini contubernali in fronte pedes X in agro pedes XI","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Bihac / Raetinium","Siculi","Kaštela","milites, nomen singulare, tria nomina, viri",43.5306,16.3004,1
"14",82,468009,"EDCS-30000208","HD058593",42,150,"L(ucius) Pescennius / L(uci) f(ilius) Fal(erna) Satur/ninus vet(eranus) leg(ionis) / XI C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) sibi et / Mariae Sp(uri) f(iliae) Quin/tae con[iugi] / be[ne merenti","L(ucius) Pescennius / L(uci) f(ilius) Fal(erna) Satur/ninus vet(eranus) leg(ionis) / XI C(laudiae) p(iae) f(idelis) v(ivus) f(ecit) sibi et / Mariae Sp(uri) f(iliae) Quin/tae con[iugi] / be[ne merenti]","Lucius Pescennius Luci filius Falerna Saturninus veteranus legionis XI Claudiae piae fidelis vivus fecit sibi et Mariae Spuri filiae Quintae coniugi bene merenti","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bihac / Raetinium","Siculi","Kaštela","milites, mulieres, tria nomina, viri",43.5306,16.3004,1
"15",89,468016,"EDCS-32300071","HD052240",69,79,"[T(itus) F]lavius / [3]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","[T(itus) F]lavius / [---]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","Titus Flavius ditanus civitate donatus ab Imperatore Vespasiano Caesare Augusto praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","Augusti/Augustae, milites, ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"16",90,468017,"EDCS-31300291","HD052235",101,200,"Bindo Neptuno / sacrum / Proculus Parm/anic(us) praepos(itus) / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno / sacrum / Proculus Parm/anic(us) praepos(itus) / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacrum Proculus Parmanicus praepositus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"17",95,468022,"EDCS-32300075","HD058874",71,150,"]ANE[3] / [3]a Luc[3] / [3 leg(ionis) III] F(laviae) F(elicis) [","------]ANE[---?] / [--- Fabi?]a Luc[a? ---?] / [--- leg(ionis) IIII] F(laviae) f(elicis) [------","ANE Fabia Luca legionis IIII Flaviae felicis","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, viri",44.7885,15.9292,1
"18",99,468026,"EDCS-32200023","HD058263",101,300,"] Au[relius(?) 3] / [pr]aepo[situs(?)","------] / [---] AVI(?)[---] / [--- pr]aepo[sit- ---] / [------","AVI praeposit",NA,NA,NA,"Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, viri",44.7885,15.9292,1
"19",101,468028,"EDCS-32200025","HD052275",201,300,"B[indo Neptun]/o s[acrum] / [3 Li]cin[i]u[s] / Galba / mil(es) leg(ionis) I Ad(iutricis) / b(ene)[f(iciarius)] co(n)s(ularis) v(otum) [s(olvit) l(ibens) m(erito)]","Bi[ndo Neptun]o / s[acrum] / [--- Li?]cin[ius?] / Galba / mil(es) leg(ionis) I ad(iutricis) / b(ene)[f(iciarius)] co(n)s(ularis) v(otum) [s(olvit)]","Bindo Neptuno sacrum Licinius Galba miles legionis I adiutricis beneficiarius consularis votum solvit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"20",141,468070,"EDCS-56900044","HD058388",1,300,"]A[3] / [6] / [3] m(iles?) / [leg(ionis?)] X[I","------] A(?) [---?] / [------?] / [---?] m(iles)(?) / [leg(ionis)?] X[I------","A miles legionis XI","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Biskupija",NA,"Biskupija","milites, viri",44.0169772,16.2226592,1
"21",161,468090,"EDCS-10100769","HD027058",201,400,"Valen[3] / militi legion[is II] / A(d)iutricis defu[nc]/to an(norum) XXX memori/am posuit / Tata pi/entissima co(n)iux","Valen[t---] / militi legion[is II] / a(d)iutricis defun[c]/to an(norum) XXX memori/am posuit / Tata pi/entissima co(n)iux","Valent militi legionis II adiutricis defuncto annorum XXX memoriam posuit Tata pientissima coniux","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bosansko Grahovo / Municipium Salvium",NA,"Bosansko Grahovo","milites, mulieres, nomen singulare, viri",44.1808174,16.36568,1
"22",164,468093,"EDCS-08901081","HD008209",211,222,"I(ovi) O(ptimo) M(aximo) / T(itus) Fl(avius) Pompeius / |(centurio) coh(ortis) III / Alpinorum / Antoninianae / curam agens / fab(ricae) amp(hitheatri) men(sor?) et / Vibius Vibianus protector / co(n)s(ularis)","I(ovi) O(ptimo) M(aximo) // T(itus) Fl(avius) Pompeius / |(centurio) coh(ortis) III / Alpinorum / Antoninianae / curam agens / FAB(---) AMP(---) MEN(---) et / Vibius Vibianus // protector / co(n)s(ularis)","Iovi Optimo Maximo Titus Flavius Pompeius centurio cohortis III Alpinorum Antoninianae curam agens FAB AMP MEN et Vibius Vibianus protector consularis","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia",NA,"Supetar","milites, tria nomina, viri",43.3239838,16.654819,1
"23",170,468099,"EDCS-28400350","HD061109",101,200,"Nymphis s(acrum) / Q(uintus) Silvius Spe(ratus?) / cent(urio) coh(ortis) I Belg(arum) / curagens theat(ri) / d(onum) d(edit)","Nymphis s(acrum) / Q(uintus) Silvius Spe(ratus) / cent(urio) coh(ortis) I Belg(arum) / curagens theat(ri) / d(onum) d(edit)","Nymphis sacrum Quintus Silvius Speratus centurio cohortis I Belgarum curagens theatri donum dedit","votive inscription","votive inscription",NA,"Dalmatia","Dalmatia","Brac, Otok / Brattia",NA,"Supetar","milites, tria nomina, viri",43.3239838,16.654819,1
"24",186,468116,"EDCS-30900104","HD056616",308,316,"Herculi Aug(usto) / sac(rum) Val(erius) Vale/rianus mil(es) / cum insist/erem ad cap/itella colu/mnarum ad t(h)e/rmas Licin(i)an(a)/s q(u)as(!) (f)iunt S/irmi v(otum) l(ibens) s(olvit)","Herculi Aug(usto) / sac(rum) Val(erius) Vale/rianus mil(es) / cum insist/erem ad cap/itella co&lt;l=I&gt;u/mnarum ad t(h)e/rmas Licin(i)an(a)/s q(u)as(!) fiunt S/irmi v(otum) l(ibens) s(olvit) ","Herculi Augusto sacrum Valerius Valerianus miles cum insisterem ad capitella co lt l gt umnarum ad thermas Licinianas quas fiunt Sirmi votum libens solvit","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Brac, Otok / Brattia",NA,"Supetar","tria nomina, viri",43.3239838,16.654819,1
"25",207,468137,"EDCS-10100544","HD033814",1,300,"I(ovi) O(ptimo) M(aximo) / pro [s]alut[e] / [6] / [6] / [6] / [3]nicici / [3]ni[3] / III[3 le]g(ionis) XI C(laudiae?) / IVIIII XI K(alendas) Oc(tobres)","I(ovi) O(ptimo) M(aximo) // pro [s]alut[e] / [------] / [---]NICICI / [---]NI / III[--- le]g(ionis) XI C[l](audiae) / [------] / IVIIV(?) XI K(alendas) Oc(tobres)","Iovi Optimo Maximo pro salute NICICI NI III legionis XI Claudiae IVIIV XI Kalendas Octobres","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bratunac / Domavium","Domavium","Bratunac","milites, viri",44.1375,19.3585,1
"26",208,468138,"EDCS-10100553","HD033823",1,300,"]l[3] / [3]aet[ // ]io[3] / [3]I[ // ] d(ies) XX[3] / [3] vixi[t(?) 3] / [3]ssim[3] / [3]se[ // ]ll[3] / [3 Te]rtia co(n)iu<g=C>i [3] / [3 v]iva sibi et su[is","------]I[---] / [---]aet[------ // ------]io[---] / [---]I[------ // ------] d(ies) XX[---] / [---] vixi[t? ---] / [---]ssim[---] / [---]se[------ // ------]ll[---] / [--- Te]rtia co(n)iuci(!) [---?] / [--- v]iva sibi et su[is ------","I aet io I dies XX vixit ssim se ll Tertia coniuci viva sibi et suis","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bratunac / Domavium","Domavium","Bratunac","milites, mulieres, viri",44.1375,19.3585,1
"27",214,468144,"EDCS-30400554","HD056469",151,200,"D(is) M(anibus) / L(uci) Lentidi / Saturnini / vet(erani) leg(ionis) p(rimae) I(talicae) / P(iae!) F(idelis!) viv(u)s p(osuit) si(bi) / [3] Aug() et co(n)/[iug]i Ul(piae) Cris/pinae an(norum) LX / h(ic) s(ita) e(st)","D(is) M(anibus) / L(uci) Lentidi / Saturnini / vet(erani) leg(ionis) p(rimae) M(inerviae)(?) / p(iae) f(idelis) vi(v)us p(osuit) sib(i) / [--]AV(?)G(?) et co/ni(ugi) Ul(piae) Cris/pinae an(norum) LX / h(ic) s(ita) e(st)","Dis Manibus Luci Lentidi Saturnini veterani legionis primae Minerviae piae fidelis vivus posuit sibi AVG et coniugi Ulpiae Crispinae annorum LX hic sita est","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Brekovica","Raetinium","Bihać","milites, mulieres, tria nomina, viri",44.7885,15.9292,1
"28",284,468217,"EDCS-30200433","HD034398",1,150,"Tytulius / Panentis / Sil/vano Do/mestico pos(uit)","Tytulius / Panentis / Silvano Do/mestico pos(uit)","Tytulius Panentis Silvano Domestico posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","nomen singulare, viri",44.0317,15.9936,1
"29",285,468218,"EDCS-30200434","HD031512",1,42,"M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brix{s}ia / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brixsia(!) / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","Marcus Domitius Marci filius Fabia Severus Brixsia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"30",286,468219,"EDCS-31200487","HD061354",1,100,"]GII[3] / [3] qui Rega[liano(?)] / [3] A[u]g(usto) Ne[meto] / [3] mil(es) leg(ionis) I[3] / [h(ic)] s(itus) e(st)","------](?) / [---]GII[---] / [---] Qui(rina) Rega[liano?] / [---] A[u]g(usto) Ne[meto] / [---] mil(es) leg(ionis) I[III? Fl(aviae)? ---] / [h(ic)] s(itus) e(st)","GII Quirina Regaliano Augusto Nemeto miles legionis IIII Flaviae hic situs est","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, viri",44.0317,15.9936,1
"31",287,468220,"EDCS-30200435","HD035403",1,50,"Remmo / Saeconis / f(ilius) mil(es) coh(ortis) / Mont(anorum) ann(orum) / [","Remmo / Saeconis / f(ilius) mil(es) coh(ortis) I(?) / Mo[nt(anorum)] ann(orum) / [------","Remmo Saeconis filius miles cohortis I Montanorum annorum","epitaph","epitaph","stele","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, nomen singulare, viri",44.0317,15.9936,1
"32",288,468221,"EDCS-31200488","HD061355",42,69,"M(arcus) Valerius / Liberalis / m(iles) leg(ionis) XI Cl(audiae) P(iae) F(idelis) / an(n)oru(m) XIIX st(ipendiorum) II / domu Cl(audia) Aequo / mater M(arci) viro et / sib(i) et filio","M(arcus) Valerius / Liberalis / m(iles) leg(ionis) XI Cl(audiae) p(iae) f(idelis) / an(n)oru(m) XIIX sti(pendii) I / domu Cl(audia) Aequo / mater m(emoriae?) viro et / sib(i) et filio","Marcus Valerius Liberalis miles legionis XI Claudiae piae fidelis annorum XIIX stipendii I domu Claudia Aequo mater memoriae viro et sibi et filio","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, mulieres, tria nomina, viri",44.0317,15.9936,1
"33",289,468222,"EDCS-31200489","HD061356",42,69,"L(ucius) Val(erius) Maximus Va/lerio Proclo ann(orum) IXXX / leg(ionis) XI C(laudiae) P(iae) F(idelis) d(imisso) [h(onesta) m(issione) e]t Val/giae vet(?) en[3 V]aleriae / Proclinae nepti / Annucu[3] <e=F>(gregiae) m(emoriae) v(ir) / p(ie) f(ecit)","L(ucius) Val(erius) Maximus Va/lerio Proclo ann(orum) IXXX / leg(ionis) XI C(laudiae) p(iae) f(idelis) D[---]T Val(eriae) / GIAE VET EN [V]aleriae / Proclinae nepti / ann(orum) V CV[---] F(---) M(---) V(---) / p(---) f(ecit)","Lucius Valerius Maximus Valerio Proclo annorum IXXX legionis XI Claudiae piae fidelis D T Valeriae GIAE VET EN Valeriae Proclinae nepti annorum V CV F M V p fecit","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Ninia","Knin","milites, mulieres, ordo equester, tria nomina, viri",44.0408,16.1994,1
"34",290,468223,"EDCS-31200490","HD058298",42,69,"] / L(ucius) [3] / Men(enia) V[ero(?)] / Feltr(ia) mil(es) / leg(ionis) XI C(laudiae) P(iae) F(idelis) / stip(endiorum) XVI / her(es) posu(it)","------] / L(?)[---] / Men(enia) V[---] / Feltr(ia) mil(es) / leg(ionis) XI C(laudiae) p(iae) f(idelis) / stip(endiorum) XVI / her(es) posu(it)","L Menenia V Feltria miles legionis XI Claudiae piae fidelis stipendiorum XVI heres posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"35",291,468224,"EDCS-30200436","HD035397",42,69,"[L(uci) V]iri L(uci) f(ilii) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) P(iae) F(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit)","[L(uci)? V?]iri L(uci) f(ili) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) p(iae) f(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit)","Luci Viri Luci fili Poblilia Novici Verona militis legionis XI Claudiae piae fidelis centuria Aquili Frontonis stipendiorum XXII heres faciendum curavit","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"36",292,468225,"EDCS-31200491","HD061380",1,300,"colonia] / [Ca]mpestri / Iul(ia) Augusta(?) N/[","------] / [--- colonia?] / [Ca]mpestri / Iul(ia) Augusta N/[------","colonia Campestri Iulia Augusta N",NA,NA,NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
"37",294,468227,"EDCS-31200497","HD061382",171,300,"]Aur[3] / [3]MS[","Aur(eli-) [---] / [---]MS[---] / [------","Aureli MS",NA,NA,"tabula","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
"38",295,468228,"EDCS-31200498","HD061386",151,300,"]LIIOI / [3]ito Mesia(e?) / [m]atri su(a)e f(ecit?) / [","------] / [---]A(?) L(?)I(?)I(?)OI(?) / [---]I(?)to Mesia / [m]atri su(a)e f(ecit)","A LIIOI Ito Mesia matri suae fecit","epitaph","epitaph","sarcophagus","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","mulieres, viri",44.0317,15.9936,1
"39",296,468229,"EDCS-31200499","HD061387",1,300,"]I[3] / PA[3] / A[","------] / M(?)[---] / PA[---] / A[---] / [------","M PA A","epitaph","epitaph","stele","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
"40",297,468230,"EDCS-31200500","HD061388",151,300,"]o Quinto [3] / [3]II[","[---]o Quinto / [---]V[-](?) / [------","o Quinto V","epitaph","epitaph","sarcophagus","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","viri",44.0317,15.9936,1
"41",298,468231,"EDCS-31200501","HD061389",1,151,"[3] Quin[t 3] / P(ublius) Quin[t 3] / coniu[gi","------] / Quin[---] / P(ubli-) Quint[i---] / coniu[gi ---] / [------","Quin Publi Quinti coniugi","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","mulieres, viri",44.0317,15.9936,1
"42",299,468232,"EDCS-31200502","HD061391",151,300,"Septim[3] / [3]LINA[3] / VI[","Septimi[a ---]/L(?)ina [---] / VI[---] / [------?","Septimia Lina VI",NA,NA,"tabula","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
"43",300,468233,"EDCS-31200503","HD061392",151,300,"D(is) M(anibus) / Sept(imae) Ma[r]/cellinae def(unctae) / an(norum) XXVII / Sept(imius) Marcel/linus pater / filiae pientis(simae?) / posuit / et sibi","D(is) M(anibus) / Sept(imae) Mar/cellinae def(unctae) / an(norum) XXVII / Sept(imius) Marcel/linus pater / filiae pientis(simae) / posuit / et sibi","Dis Manibus Septimae Marcellinae defunctae annorum XXVII Septimius Marcellinus pater filiae pientissimae posuit et sibi","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","mulieres, tria nomina, viri",44.0317,15.9936,1
"44",301,468234,"EDCS-31200504","HD061393",1,150,"Sura Gemelli / sibi et suis / [","Sura Gemelli / sibi et suis","Sura Gemelli sibi et suis","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","mulieres, nomen singulare, viri",44.0317,15.9936,1
"45",302,468235,"EDCS-31200505","HD061394",151,300,"D(is) [M(anibus)] / Talu[sae] / bene [me]/renti [","D(is) [M(anibus)] / T(h?)al(l?)u[sae?] / bene [me]/rent[i]","Dis Manibus Thallusae bene merenti","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","mulieres, nomen singulare",44.0317,15.9936,1
