MonumentID,Monument_Reference,MonumentType,Mention_Legio_VII,Inscription,Translation,Source_of_Translation,"Tončinić_2011_Style_Type",Lower_Field_Decoration,Portrait,Frieze,Creation_Date,DateNote,Current_Location,Roman_Province,Ancient_Site,Specific_Provenience,Modern_Find_Site,Modern_Provenience,General_Location_Note,Unique_Monument_Provenience_Note,LAT,LONG,Pleiades,Trismegistos,MonumentNote,DBInclusionReason,Media
11,"CIL 03, 02913",stela,yes,"Sex(tus) Atilius / Sex(ti) f(ilius) Pap(iria) / veter(anus) leg(ionis) VII / domo Ticino / hic situs est / testamento / fieri iussit / in f(ronte) p(edes) XV in a(gro) p(edes) XX","Here lies Sextus Atilius, son of Sextuss, of the Papiria tribe, a veteran of the 7th legion, from the city of Ticino. Done in accordance with his will, in a length of 15 feet and a width of 20.",Coopey,Rc,undecorated,"no portrait","no frieze","7 to 42",,"Arheološki muzej u Zadru/Archaeological Museum in Zadar, Inv. No. A 22053",Dalmatia,Iadera,,Zadar,"built into modern structure",,,44.120336,15.237922,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796,,,http://lupa.at/21438/photos/1
12,"CIL 03, 09733",stela,yes,"Q(uintus) Baebius Q(uinti) f(ilius) Serg(ia) Conan(is) / miles leg(ionis) VII ann(orum) XXXXV / stip(endiorum) XX h(ic) s(itus) e(st) / quamvis lasse viator rogo ne graveris et / tumulum contempla meum lege et moraris iam / aliquid resciveris dum vixi hilaris iucundus amicis / nunc to[rpen]s iaceo hic o[ssa req]u[ies]cunt mea natus / sum Canonis conditu(s) in Illurico vale et bene / facito vitae dum fatum venit / frater fratri","Here lies Quintus Baebius, son of Quintus, of the Sergia tribe, from the city of Conana, a soldier of the 7th legion, who lived for 45 years and served for 20. Although you are weary, traveller, do not make haste - see now my grave! Read as you pause, and learn something you shall. My life I enjoyed, and by my comrades I was beloved. Now I lay rigid; here my bones rest. Conana is the city of my birth, Illyricum received me for burial. Hail, enjoy your life until your fated time comes. Erected by a brother for a brother.","Coopey, edit of Rendić-Miočević 1987",Ra,"quad-panelled door, handles","no portrait",floral,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 303",Dalmatia,Tilurium,,"Vojnić","built into modern structure",,"built into a house",43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"has a poem upon it, perhaps composed by one of the supposed products of the 'poets' at Tilurium. See Sanader, Demicheli, Bradač 2013",,http://lupa.at/21439/photos/1
13,"CIL 03, 08735","funerary inscription",yes,"C(aius) Bitt[ius(?)- - -]/ Tro(mentina) Gem[ellus(?)] / imagini[fer] / leg(ionis) VII Cl(audiae) [P(iae) F(idelis)] / t(estamento) f(ieri) [i(ussit)]","Gaius Bittius [-] Gemellus, of the Tromentia tribe, imaginifer of the 7th legion Claudia pia fidelis. Done in accordance with his will.",Coopey,,,,,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1259",Dalmatia,Salona,,Solin,,,"built into 'Fillipi house'. Tončinić 2011, 28",43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21440/photos/1
14,"CIL 03, 02014",stela,yes,"L(ucius) Caesius L(uci) f(ilius) / Cam(ilia) Bassus / domo Pisauri / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / an(norum) LIII stip(endiorum) XXXIII / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) h(eres) p(osuit) / in f(ronte) p(edes) VI in a(gro) p(edes) X","Here lies, Lucius Caesius Bassus, son of Lucius, of the Camilia tribe, from the city of Pisaurum, a veteran of the 7th legion Claudia pia fidelis, who lived for 53 years, and served for 33. Done in accordance with his will. Erected by his heir in a length of 7 feet and a width of 10.",Coopey,A3a,"panelled door, lions and handles",bust,military,"42 to 59",,lost,Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"rely on a drawing from Hofmann 1905, 58, fig. 38",,http://lupa.at/21506/photos/1
15,"CIL 03, 08487",titulus,yes,"L(ucius) Domitius L(uci) f(ilius) A<n=II>(iensi) / Aquila vet(eranus) leg(ionis) VII / domo Myliada / stip(endiorum) XXXIII vi(vus) fe[c(it)] sib(i) / et C(aio) Domitio [L(uci) f(ilio)] A[n(iensi)] / [A]qui[l]ino mil(iti) [le]g(ionis) V[II] / stip(endiorum) XX h(onesta) m(issione) [m(isso) ---] / [------] / [------] / [---]A[---] / [---]V[---] fecit","Lucius Domitius Aquila, son of Lucius, of the Aniensis tribe, a veteran of the 7th legion, from the city of Mylias, who served for 33 years, in his lifetime erected this for himself and Gaius Domitius Aquilinus, son of Lucius, of the Aniensis tribe, a soldier of the 7th legion, who served for 20 years, honourably discharged.","Coopey, edit of Tončinić 2011",tituli,undecorated,"no portrait","no frieze","7 to 42",,"Secondary use",Dalmatia,"Pagus Scunasticus",,"Filovača","carved into rock",,,43.195182,17.561619,,https://www.trismegistos.org/place/43363,"very damaged in the bottom half of the epitaph",,http://lupa.at/21441/photos/1
16,"CIL 03, 02710",stela,yes,"Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / ex leg(ione) VII h(ic) s(itus) e(st) / testamento / fieri iussit","Here lies Gnaeus Domitius, son of Gnaeus, of the Velina tribe, from the city of Pessinus, who lived for 44 years, and served for 25, a veteran of the 7th legion. Done in accordance with his will.",Coopey,A1a,"quad-panelled door, lions and handles","no portrait",military,"7 to 42",,"Secondary use",Dalmatia,Tilurium,,Gardun,"built into modern structure",,"split into two, used in a house and cemetery structure",43.612652,16.714676,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"split into two (hence the two Betz ref. numbers)",,http://lupa.at/21443/photos/1
17,"CIL 03, 02914","funerary inscription",yes,"T(ito) Elvio Sca(ptia) Marino / IIIIvir(o) Altini / T(itus) Elvius T(iti) f(ilius) Salinator / >(centurio) leg(ionis) VII patri / in fronte p(edes) XXX in agro p(edes) XXX / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Titus Evlius Marinus, of the Scaptia tribe, quatrovir in Altinus. Titus Elvius Salinator, son of Titus, centurion of the 7th legion, to his father. In a length of 30 feet, and a width of 30 feet. This monument shall not be inherited by his heir.",Coopey,,,,,"7 to 42",,lost,Dalmatia,Iadera,,Zadar,"Church of st Michael",,,44.219355,15.283776,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796,,,
18,"ILJug 3, 1949",stela,maybe,"L(ucius) Fabius C(ai) f(ilius) / Serg(ia) Conana / ann(orum) XX[---] / h(ic) s(itus) [e(st)] / C(aius) Fabius pa[ter] / filio posuit","Here lies Lucius Fabius, son of Gaius, of the Sergia tribe, from the city of Conana, who lived 20(?) years. Gaius Fabius, his father, erected this for his son.",Coopey,A1a,"quad-panelled door, busts and knockers","no portrait",military,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3321",Dalmatia,Tilurium,,"Vojnić",,,,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"does not mention Legio VII. Has been placed as a 'possible monument of Legio VII' by Tončinić 2011, 36-38, because of location, style and the eastern origins of its commemorated individual",,http://lupa.at/21444/photos/1
19,"CIL 03, 02022","funerary inscription",yes,"L(ucius) Fabius L(uci) f(ilius) Satur/ninus vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / v(ivus) f(ecit) sibi et Claudiae Ti(beri) / Claudi Alypi l(iberti) Caesaris / libertae Euche h(ic) s(iti) s(unt) / loc(um) don(avit) C(aius) Titius / Restitutus amicus / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Here lies Lucius Fabius Saturninus, son of Lucius, veteran of the 7th legion Claudia pia fidelis, who in his lifetime made this for himself and Caludia Eucha, a freedwoman of Tiberius Claudius Alypus, a freedman of Caesar. His friend Gaius Titius Restitutus donated this plot. This monument shall not be inherited by his heir.","Coopey, edit of Tončinić 2011",,,,,"42 to 70",,lost,Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,
20,"CIL 03, 01813",stela,yes,"M(arcus) Heredius M(arci) f(ilius) Pal(atina) / veteranus leg(ionis) VII / h(ic) s(itus) est fecit / Faustus l(ibertus)","Here lies Marcus Heredius, son of Marcus, of the Palatina tribe, a veteran of the 7th legion. Erected by his freedman Faustus.",Coopey,Rc,,"no portrait","no frieze","7 to 42",,"Secondary use - 'Ereš Tower'",Dalmatia,Narona,,Vid,,"near Metković",,43.08130155,17.62464523,https://pleiades.stoa.org/places/197400,https://www.trismegistos.org/place/16527,,,http://lupa.at/21445/photos/1
21,"CIL 03, 06364",titulus,yes,"L(ucius) Herenni/us L(uci) f(ilius) Pap(iria) / Muliade / vet(eranus) leg(ionis) VII / an(norum) LX sti(pendiorum) / XXX h(ic) s(itus) e(st)","Here lies, Lucius Herennius, son of Lucius, of the Papiria tribe, from the city of Milyas, veteran of the 7th legion, who lived for 60 years and served for 30.",Coopey,tituli,,"no portrait","no frieze","7 to 42",,"Zemaljski muzej Bosne i Hercegovine/The National Museum of Bosnia and Herzegovina, Inv. No. 160",Dalmatia,"Pagus Scunasticus",,"Glavica-Ljubuški","carved into rock",,,43.196349,17.556913,,https://www.trismegistos.org/place/43363,,,http://lupa.at/21446/photos/1
22,"CIL 03, 02033",stela,yes,"Q(uinto) Hortensio / Q(uinti) f(ilio) vet(erano) leg(ionis) / VII h(ic) s(itus) e(st) / Hortensia / Q(uinti) f(ilia) Quarta et / L(ucius) Corellius I[u]c/undus patri posuere","Here lies Quintus Hortensius, son of Quintus, veteran of the 7th legion. erected by the daughter of Quintus, Quarta, and Lucius Corellius Iuccundus, for their father.","Coopey, edit of Tončinić 2011",,,,,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 202",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,
23,"CIL 03, 07386",stela,yes,"Leg(io) VII Maced(onica) / >(centuria) M(arci) Caecili / c(o)ho(rs) X","] of the 7th legion Macedonica, in the century of Marcus Caecilius and the 10th cohort.",Coopey,,,,,"-30 to 42","likely -30 to 6",,Thracia,Lysimacheia,,Bolayir,,,,40.51592,26.762394,https://pleiades.stoa.org/places/501458,https://www.trismegistos.org/place/3582,,"erected in DB for relevance to Legio's time in Macedonia/Thrace under either M. Licinius Crassus (29-27 BCE) or L. Calpurnius Piso (13-11 BCE).",
24,"ILJug 3, 2105",stela,maybe,"[---]ara [---]ilio / [---]t [ // Q(uintus) Ignienus / Q(uinti) f(ilius) Ani(ensi) Ferox / dom(o) Troade / [","Quintus Ignienus Ferox, son of Quintus, of the Aniensis tribe, from the city of Troas [-]",Coopey,,,,,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split",Dalmatia,Salona,"North Necropolis",Solin,,"Matinčevo-Porta Suburbia I",,43.53869,16.476543,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"Tončinić 2011 notes MonumentID 8, 62, 95 were found nearby. Ascribed as potential Legio VII monument by Betz 1938, Wilkes 1969, and Tončinić 2011 because of this, its find-site, and the Eastern origin of Q. Ignienus Ferox",,http://lupa.at/21447/photos/1
25,"ILJug 3, 1950",stela,yes,"C(aius) Iulius C(ai) f(ilius) / Fab(ia) Ninica / mil(es) leg(ionis) VII / an(norum) XXXIX stip(endiorum) / XVII h(ic) s(itus) e(st) / hospes resis[te et] tumulum / contempla meum lege et / morarus iam scies quae / debeas vixi qua potui ca/rus sum Opiorum hic su/m sepultus hic ossua re/quiescum mea vale et / bene facito vitae dum fa/tum venit // Faustus l(ibertus) patrono","Here lies Gaius Julius, son of Gaius, of the Fabia tribe, from the city of Ninica, a soldier of the 7th legion, who lived for 39 years and served for 17. Hail, stranger, stop a moment and gaze upon my grave mound, read and remain and you shall learn what you need shortly. I lived as I could, favoured by Opio was I. I was buried here, and here my bones rest. Hail! Enjoy life until your fated end comes. By Faustus, his freedman, for his patron.","Coopey, edit of Rendić-Miočević 1987",Ra,"quad-panelled door, door knockers","no portrait",floral,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3959",Dalmatia,Tilurium,,"Vojnić",,,"found amongst other Roman remains, including a wall and other stelae",43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://lupa.at/21448/photos/1
26,"AE 1994, 1355",stela,yes,"C(aius) Iulius C(ai) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / ann(orum) XLV stip(endiorum) XXV / h(ic) s(itus) e(st) / C(aius) Mummius p(osuit)","Here lies Gaius Julius, son of Gaius, of the Velina tribe, from the city of Pessinus, a veteran of the 7th legion, who lived for 45 years and served for 25. Erected by Gaius Mummius.",Coopey,A1a,"quad-panelled door, lions and vines","no portrait",floral,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 5960",Dalmatia,,,Dugopolje,"part of c.4th Late Antique tomb",,,43.599333,16.589915,,https://www.trismegistos.org/place/29360,,,http://lupa.at/21449/photos/1
27,"CIL 03, 02714","funerary inscription",yes,"C(aius) Iulius C(ai) f(ilius) / V(o)ltinia Clistin/na mil(es) leg(ionis) VII / ann(orum) XL stip(endiorum) XIIX / h(ic) s(itus) e(st)","Here lies Gaius Julius, son of Gaius, of the Voltinia tribe, from the town of Clistinna, a soldiers of the 7th legion, who lived for 40 years and served for 18.",Coopey,,,,,"7 to 42",,lost,Dalmatia,Tilurium,,"Vojnić",,,"found near a 'local church' according to Tončinić 2011, 47",43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,
28,"CIL 03, 02885","funerary inscription",yes,"C(aio) Iulio C(ai) f(ilio) / [Se]r(gia) [Agr]ippae / [---] leg(ionis) VII (Claudiae?) P(iae) F(idelis) / >(centuria) Agrip[p]ae p(---) / Avita mari/to Agrippi[na] / patri","For Gaius Julius Agrippa, son of Gaius, of the Sergia tribe [-] of the 7th legion Caludia pia fidelis, in the century of Agrippa p[-]. Placed by Avita to her husband and Agrippa's father.","Coopey, edit of Tončinić 2011",,,,,"42 to 59",,lost,Dalmatia,Corinium,,"Donji Karin",,,,44.104527,15.633504,https://pleiades.stoa.org/places/197225,https://www.trismegistos.org/place/29319,"Betz 1938 interpreted Aggrip[p]ae to refer to the century within which Gaius was serving, thus considering him an active soldier. Note that the C is missing from the original inscription and has been reconstructed from the G",,
29,"CIL 03, 02715","funerary inscription",yes,"M(arcus) Iulius M(arci) f(ilius) / Trernahensis / miles leg(ionis) VII C(laudiae) P(iae) F(idelis) / an(norum) XXXXV stip(endiorum) XX / M(arcus) A[rr]untius frater [et] / [he]r[es] po[s]uit / h(ic) s(itus) e(st)","Here lies Marcus Julius, son of Marcus, from the city of Trernahensis, a soldier of the 7th legion Claudia pia fidelis, who lived for 45 years and served for 20. Marcus Arruntius, his brother and heir, erected this.",Coopey,,,,,"42 to 59",,lost,Dalmatia,Tilurium,,"Košute",,,,43.626113,16.699521,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,
30,"CIL 03, 13976",stela,maybe,"Sex(tus) Clodius / C(ai) f(ilius) Pub(lilia) Verona / mil(es) l[eg(ionis) ---] f[","Sextus Clodius, son of Gaius, of the Publilia tribe, from the city of Verona, a soldier of the [7th?] legion [Claudia pia] fidelis? [-]",Coopey,A1a,"quad-panelled door, construction tools","no portrait",military,"42 to 59","Maybe 6 to 42 if one does not accept the existence of a cpf title","Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1982",Dalmatia,Tilurium,,"Vojnić","built into modern structure",,,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,fragmentary,"no explicit mention of Legio VII is extant, but there is a possibility of the CPF title. This, plus its location at Tilurium (Vojnić), means it could have belonged to a member of Legio VII. It could technically also be ascribed to Legio XI, but VII is more likely on account of location",http://lupa.at/21450/photos/1
31,"CIL 03, 09734",stela,yes,"L(ucius) Cornelius L(uci) f(ilius) / Fab(ia) Heraclea / mil(es) leg(ionis) VII ann(orum) / XXXIII stip(endiorum) XII t(estamento) f(ieri) i(ussit) / Secundus h(eres) p(osuit) / h(ic) s(itus) e(st)","Here lies Lucius Cornelius, son of Lucius, of the Fabia tribe, from the city of Heraclea, a soldier of the 7th legion, who lived for 33 years and served for 11. Secundus, his heir, erected this.",Coopey,A1b,dolabra,"no portrait","no frieze","7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1998",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://lupa.at/21451/photos/1
32,"CIL 03, 02019","funerary inscription",yes,"C(aius) Curiatius T(iti) f(ilius) Serg(ia) / Secundus dom(o) Augusta / Troade vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / scrib[a] Salonis annor(um) LXV h(ic) s(itus) e(st) / [in fr(onte) p(edes) --- in agr(o)] p(edes) XX","Here lies Gaius Curiatius Secundus, son of Titus, of the Sergia tribe, from the city of Augusta Troas, a veteran of the 7th legion Claudia pia fidelis, a scribe in Salona, who lived for 65 years. [Placed in a length of?] and a  width of 20 feet.",Coopey,,,,,"42 to 70",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 27",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21452/photos/1
