FindSpotID,RomanProvince,AncientSite,SpecificAncientLocation,ModernSite,SpecificModernLocation,ExtraLocationNote,LONGITUDE_epsg_4326,LATITUDE_epsg_4326,Pleiades,Trismegistos
57,Dalmatia,"Pagus Scunasticus",,Humac,"built into modern structure",,17.528855,43.182217,,https://www.trismegistos.org/place/43363
58,Dalmatia,"Pagus Scunasticus",,Smokovice-Hardomilje,"secondary use","right bank of Trebižat river",17.544753,43.159097,,https://www.trismegistos.org/place/43363
59,Dalmatia,Tilurium,,"Vojnić",,"found between Vojnić and Gardun",16.700356,43.615035,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
60,Dalmatia,Salona,"North Necropolis","Kapljuč","secondary use",,16.47679,43.53937,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
61,Dalmatia,Salona,"North Necropolis",Solin,"surrounds of the amphitheatre",,16.475334,43.538629,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
62,Dalmatia,Salona,"East Necropolis",Solin,,Gradina,16.491401,43.537314,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
63,Dalmatia,Salona,,Solin,"ul. Marka Marulića",,16.493097,43.535713,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
64,Dalmatia,Iadera,,Zadar,uncertain,,15.237922,44.120336,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796
65,Dalmatia,Tragurium,,Trogir,"built into modern structure",,16.25063,43.517639,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369
66,Dalmatia,Tilurium,,Trilj,,,16.723601,43.618756,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
