Column1,X,LIST.ID,EDCS.ID,EDH.ID,not_before,not_after,changed?,source,note,delete?,transcription,clean_text_interpretive_word,type_of_inscription_clean,type_of_inscription_auto,type_of_monument_clean,changed_type?,source,note,province,province_label_clean,place,findspot_ancient_clean,findspot_modern_clean,status_notation,Latitude,Longitude,count
262,2951,470964,EDCS-27601590,HD054808,1,41,,,,,Q(uinto) Hortensio / Q(uinti) f(ilio) vet(erano) leg(ionis) / VII h(ic) s(itus) e(st) / Hortensia / Q(uinti) f(ilia) Quarta et / L(ucius) Corellius I[u]c/undus patri / posuere,Quinto Hortensio Quinti filio veterano legionis VII hic situs est Hortensia Quinti filia Quarta et Lucius Corellius Iucundus patri posuere,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, mulieres, praenomen et nomen, tria nomina, viri",43.5384,16.4743,1
304,3643,471688,EDCS-28700941,HD062488,1,41,,,,,C(aius) Asurius mil(es) / leg(ionis) VII |(centuria) Trini / ann(orum) XXXV stip(endiorum) XIV / domo Florentia / Severa lib(erta) / pos(u)it,Caius Asurius miles legionis VII centuria Trini annorum XXXV stipendiorum XIV domo Florentia Severa liberta posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"liberti/libertae, milites, mulieres, praenomen et nomen, viri",43.5384,16.4743,1
459,6230,474677,EDCS-03300743,HD040156,1,41,,,,,L(ucius) Attius L(uci) f(ilius) Sergi(a) / Augusta / an(norum) XXX st(ipendiorum) VIII / mil(es) leg(ionis) VII / h(ic) s(itus) es(t),Lucius Attius Luci filius Sergia Augusta annorum XXX stipendiorum VIII miles legionis VII hic situs est,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Trilj / Tilurium,Tilurium,Trilj,"milites, praenomen et nomen, viri",43.6139,16.689,1
405,5214,473461,EDCS-10101054,HD034435,1,41,,,,,L(ucius) Arruntius / domo Pasimoae(!) / anno(rum) LV / [vet(eranus)? leg(ionis)] VII h(ic) s(itus) e(st) / [testament]o fieri iussit / [------,Lucius Arruntius domo Pasimoae annorum LV veteranus legionis VII hic situs est testamento fieri iussit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, praenomen et nomen, viri",43.5384,16.4743,1
456,6224,474671,EDCS-10100892,HD034294,1,41,,,,,C(aius) Iulius C(ai) f(ilius) / Fab(ia) Ninica / mil(es) leg(ionis) VII / an(norum) XXXIX stip(endiorum) / XVII h(ic) s(itus) e(st) / hospes resis[te et] tumulum / contempla meum lege et / moraris iam scies quae / debeas vixi qua potui ca/rus sum Opiorum hic su/m sepultus hic ossua(!) re/quiescum(!) mea vale et / bene facito vitae dum fa/tum venit / Faustus l(ibertus) patrono,Caius Iulius Cai filius Fabia Ninica miles legionis VII annorum XXXIX stipendiorum XVII hic situs est hospes resiste et tumulum contempla meum lege et moraris iam scies quae debeas vixi qua potui carus sum Opiorum hic sum sepultus hic ossua requiescum mea vale et bene facito vitae dum fatum venit Faustus libertus patrono,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Trilj / Tilurium,Tilurium,Trilj,"liberti/libertae, milites, nomen singulare, tria nomina, viri",43.6139,16.689,1
472,6391,474843,EDCS-26600673,HD051071,1,41,,,,,M(arcus) Heredius M(arci) f(ilius) Pal(atina) / veteranus leg(ionis) VII / h(ic) s(itus) est fecit / Faustus l(ibertus),Marcus Heredius Marci filius Palatina veteranus legionis VII hic situs est fecit Faustus libertus,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Vid / Narona,Narona,Metković,"liberti/libertae, milites, nomen singulare, praenomen et nomen, viri",43.0801,17.625,1
484,6621,475080,EDCS-14800171,HD039866,1,41,,,,,L(ucius) Ancharenus Q(uinti) f(ilius) / Ser(gia) Laranda mil(es) / leg(ionis) VII ann(orum) XL stip(endiorum) XXI / h(ic) s(itus) e(st) / Q(uintus) Ancharenus haec tan[---?] / posuit tibi dona frater quia / longe a patria te cecidisse dolet / optaram vivo potius dare vi[na] / [---] non obito care ferenda / tuo si quicquam sentire potes / [---]mpore nostro damus haec / o[---] sit tibi terra levis frater / fratri posuit,Lucius Ancharenus Quinti filius Sergia Laranda miles legionis VII annorum XL stipendiorum XXI hic situs est Quintus Ancharenus haec tan posuit tibi dona frater quia longe a patria te cecidisse dolet optaram vivo potius dare vina non obito care ferenda tuo si quicquam sentire potes mpore nostro damus haec o sit tibi terra levis frater fratri posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Vojnic Sinjski / Tilurium,Tilurium,Trilj,"milites, praenomen et nomen, tria nomina, viri",43.6139,16.689,1
490,6734,475193,EDCS-28400165,HD060145,1,41,,,,,T(ito) (H)elvio Sca(ptia) Marino / IIIIvir(o) Altini / T(itus) (H)elvius T(iti) f(ilius) Salinator / |(centurio) leg(ionis) VII patri / in fronte p(edes) XXX in agro p(edes) XXX / h(oc) m(onumentum) h(eredem) n(on) s(equetur),Tito Helvio Scaptia Marino IIII viro Altini Titus Helvius Titi filius Salinator centurio legionis VII patri in fronte pedes XXX in agro pedes XXX hoc monumentum heredem non sequetur,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Zadar / Iader,Iader,Zadar,"milites, ordo decurionum, tria nomina, viri",44.115501,15.223778,1
502,7018,107221,EDCS-69000085,NA,6,41,,,,,NA,us uri filius eques alae Hispanorum Batavus,NA,epitaph,NA,,,,Dalmatia,NA,Ivosevci / Burnum,NA,NA,"milites, viri",44.0160408,16.0072244,1
44,681,468631,EDCS-00380801,HD039996,1,42,,,,,C(aius) Iulius C(ai) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / ann(orum) XLV stip(endiorum) / XXV h(ic) s(itus) e(st) / C(aius) Mummius p(osuit),Caius Iulius Cai filius Velina domo Pessinunte veteranus legionis VII annorum XLV stipendiorum XXV hic situs est Caius Mummius posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Dugopolje / Salona,Salonae,Dugopolje,"milites, praenomen et nomen, viri",43.5384,16.4743,1
61,822,468774,EDCS-30100406,HD054439,1,42,,,,,C(aius) Longin(i)us C(ai) f(ilius) / Cor(nelia) Amblada / mil(es) leg(ionis) VII an(norum) XL / stip(endiorum) XXI h(ic) s(itus) e(st) / frater fratri,Caius Longinius Cai filius Cornelia Amblada miles legionis VII annorum XL stipendiorum XXI hic situs est frater fratri,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Gardun / Tilurium,Tilurium,Trilj,"milites, praenomen et nomen, viri",43.6139,16.689,1
92,1089,469047,EDCS-10100864,HD034239,1,42,,,,,M(arcus) Livius M(arci) f(ilius) Pal(atina) dom(o) Aloro veteranus leg(ionis) VII an(norum) L stip(endiorum) XXVI h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit),Marcus Livius Marci filius Palatina domo Aloro veteranus legionis VII annorum L stipendiorum XXVI hic situs est testamento fieri iussit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"milites, tria nomina, viri",43.1818,17.5271,1
93,1090,469048,EDCS-10100865,HD034241,1,42,,,,,T(itus) Varius T(iti) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / an(norum) L sti(pendiorum) XXIX / h(ic) s(itus) e(st) her(es) pos(uit),Titus Varius Titi filius Velina domo Pessinunte veteranus legionis VII annorum L stipendiorum XXIX hic situs est heres posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"praenomen et nomen, viri",43.1818,17.5271,1
18,288,468218,EDCS-30200434,HD031512,1,42,no,,,,M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brixsia(!) / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit,Marcus Domitius Marci filius Fabia Severus Brixsia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
460,6231,474678,EDCS-03300744,HD040157,1,42,,,,,L(ucius) Mummius L(uci) / f(ilius) Fab(ia) Ancyra / miles leg(ionis) VII / ann(orum) XXXVI / stipend(iorum) XVI / h(ic) s(itus) e(st) // Arma bis octonis felicia qui tulit annis / hic situs est fato Mummius ipse suo / si sapiunt obiti data munera percipis am(pla) / et recipis nostrae pignus amicitiae / hoc tibi cum titulo posuit Cornelius Chrestus / et dixit lachrymans(!) sit tibi ter(r)a levis // M(arcus) Cornelius M(arci) l(ibertus) / Chrestus pos(u)it,Lucius Mummius Luci filius Fabia Ancyra miles legionis VII annorum XXXVI stipendiorum XVI hic situs est Arma bis octonis felicia qui tulit annis hic situs est fato Mummius ipse suo si sapiunt obiti data munera percipis ampla et recipis nostrae pignus amicitiae hoc tibi cum titulo posuit Cornelius Chrestus et dixit lachrymans sit tibi terra levis Marcus Cornelius Marci libertus Chrestus posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Trilj / Tilurium,Tilurium,Trilj,"liberti/libertae, milites, nomen singulare, praenomen et nomen, tria nomina, viri",43.6139,16.689,1
7,76,468000,EDCS-20601174,HD039805,6,42,"yes, not_before",Me,,,C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vet(eranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt),Caius Licinius Cai filius Fabia domo Sinope veteranus legionis VII annorum L stipendiorum XXVII hic situs est heredes posuerunt,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Bigeste,Bigeste,Ljubuški,"milites, praenomen et nomen, viri",43.1818,17.5271,1
72,845,468797,EDCS-16900021,HD028177,9,42,,,,,Q(uintus) Marcius / Q(uinti) f(ilius) Cor(nelia) Bassus / dom(o) Benevento / mil(es) leg(ionis) VII an(norum) / [---] stip(endiorum) XVII / [h(ic) s(itus)] e(st) t(estamento) f(ieri) i(ussit) / [ex arb]itratu / [M]aximi,Quintus Marcius Quinti filius Cornelia Bassus domo Benevento miles legionis VII annorum stipendiorum XVII hic situs est testamento fieri iussit ex arbitratu Maximi,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Gardun / Tilurium,Tilurium,Trilj,"milites, nomen singulare, tria nomina, viri",43.6139,16.689,1
123,1177,469140,EDCS-28300164,HD058166,9,42,,,,,T(itus) Cominius / C(ai) f(ilius) R[o]milia / Ateste miles / leg(ionis) XI anno/rum XL stip(endiorum) XVI / h(ic) s(itus) e(st) frat[e]r / fratri posuit / vixsi(!) quoad potui sem/per bene pauper honeste / [fr]audavi nullum nunc iuvat / [os]sa mea,Titus Cominius Cai filius Romilia Ateste miles legionis XI annorum XL stipendiorum XVI hic situs est frater fratri posuit vixsi quoad potui semper bene pauper honeste fraudavi nullum nunc iuvat ossa mea,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
170,1439,469412,EDCS-30301406,HD058275,9,42,,,,,------]IL(?) / [--- mil(---)] leg(ionis) XI / [tess]erar(i--) [---] / [---] corni/[culari-- ---?] / leg(ati) Aug(usti) / [---]I(?)PIO[------,IL mil legionis XI tesserari corniculari legati Augusti IPIO,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Knin / Burnum,Ninia,"Knin, bei","milites, viri",44.0408,16.1994,1
218,2505,470507,EDCS-30301392,HD061586,9,42,,,,,M(arcus) Fraxsanius(!) Sex(ti) f(ilius) / Pol(lia) domo Regio Lepido / veteranus leg(ionis) XI eques / annorum XLIIII stipendiorum XXV donatus / phaleris torquibus / armillis h(ic) s(itus) e(st) / Primu(s) l(ibertus) pro meritis,Marcus Fraxsanius Sexti filius Pollia domo Regio Lepido veteranus legionis XI eques annorum XLIIII stipendiorum XXV donatus phaleris torquibus armillis hic situs est Primus libertus pro meritis,epitaph,epitaph,cliff,,,,Dalmatia,Dalmatia,Roski slap,NULL,"Skradin - Kistanje, zwischen","liberti/libertae, milites, nomen singulare, viri",43.8227,15.9208,1
230,2698,470701,EDCS-28300147,HD061590,9,42,,,,,T(itus) Cillius / T(iti) f(ilius) Fab(ia) / domo Lara/nda vet(eranus) / leg(ionis) XI ann(orum) LXX / stipendioru(m) / [X?]XXIIX / [--]E[--],Titus Cillius Titi filius Fabia domo Laranda veteranus legionis XI annorum LXX stipendiorum XXXIIX E,epitaph,epitaph,cliff,,,,Dalmatia,Dalmatia,Skradin / Scardona,NULL,"Skradin - Kistanje, zwischen","milites, praenomen et nomen, viri",43.8227,15.9208,1
435,5568,473900,EDCS-05000667,HD039722,9,42,,,,,Q(uintus) Valerius / Q(uinti) f(ilius) Corn(elia) / Edessa mil(es) leg(ionis) VII ann(orum) / XXXV stip(endiorum) XII / t(estamento) f(ieri) i(ussit) L(ucius) Valerius / h(eres) p(osuit) et Valeria / Quinta l(iberta) h(ic) s(ita) e(st),Quintus Valerius Quinti filius Cornelia Edessa miles legionis VII annorum XXXV stipendiorum XII testamento fieri iussit Lucius Valerius heres posuit et Valeria Quinta liberta hic sita est,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"liberti/libertae, milites, mulieres, praenomen et nomen, viri",43.5384,16.4743,1
85,988,468941,EDCS-30200139,HD021258,1,50,,,,,------ mil(es) leg(ionis) eiusd]em / [--- fr]ater f(aciendum) c(uravit),miles legionis eiusdem frater faciendum curavit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Gornji Muc / Andetrium,Andetrium,Muć,viri,43.6922,16.5206,1
94,1091,469049,EDCS-10100866,HD034242,1,50,,,,,[Q(uinto)?] Caenio / Q(uinti) f(ilio) [e]q(uiti) coh(ortis) / [II]I Alpinoru[m] / [d]omo [V]e[l]au/[no] ann(orum) [---] / st[ip(endiorum)] XX[---] / [------,Quinto Caenio Quinti filio equiti cohortis III Alpinorum domo Velauno annorum stipendiorum XX,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"milites, viri",43.1818,17.5271,1
107,1112,469070,EDCS-51400004,HD065033,1,50,,,,,L(ucius) Vettius M(arci) [f(ilius)] / Maec(ia) Secun[dus] / Libarn[a] vet(eranus) le[g(ionis)] / VII vivus [f]ecit s[ibi] / et Vettiae L(uci) f(iliae) Ver[ae] / et Vettiae L(uci) l(ibertae) S[---],Lucius Vettius Marci filius Maecia Secundus Libarna veteranus legionis VII vivus fecit sibi et Vettiae Luci filiae Verae et Vettiae Luci libertae S,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Hrvace,Aequum,Hrvace,"liberti/libertae, milites, mulieres, tria nomina, viri",43.7423,16.6547,1
148,1231,469195,EDCS-10000854,HD034391,1,50,,,,,Heras Ennom/ai f(ilius) mil(es) c(oh)or(tis) II / Cyrr(hestarum) do(mo) Cyr(rh)o / ann(orum) L sti(pendiorum) XXII h(ic) s(itus) e(st) / [---]raeus Ab/emmi f(ilius) (h)er(es) pos(uit),Heras Ennomai filius miles cohortis II Cyrrhestarum domo Cyrrho annorum L stipendiorum XXII hic situs est raeus Abemmi filius heres posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, nomen singulare, viri",44.0317,15.9936,1
156,1251,469215,EDCS-10101845,HD025912,1,50,,,,,Dacnas / Apsaei f(ilius) / mil(es) coh(ortis) II / Cyrrhestaru(m) / dom(o) Berea / ann(orum) L stip(endiorum) XXIV / h(ic) s(itus) e(st),Dacnas Apsaei filius miles cohortis II Cyrrhestarum domo Berea annorum L stipendiorum XXIV hic situs est,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, nomen singulare, viri",44.0317,15.9936,1
387,4875,473083,EDCS-32700262,HD061552,1,50,,,,,------] Pom(peius) Titullus eq(ues) / [---? do]mo Dertona t(estamento) f(ieri) iussit / [---]ae Secundae uxoris / Cordiae C[---]/ae uxor[i ---] / Secun[d------,Pompeius Titullus eques domo Dertona testamento fieri iussit ae Secundae uxoris Cordiae C ae uxori Secund,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, mulieres, tria nomina, viri",43.5384,16.4743,1
392,4882,473091,EDCS-32700270,HD061534,1,50,,,,,------] Tro[m(entina) ---] / [--- trib(uno)] mil(itum) bis l[eg(ionis) ------ // ------ Caes]are [---] / [---]P[------,Tromentina tribuno militum bis legionis Caesare P,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, ordo equester, ordo senatorius, viri",43.5384,16.4743,1
404,5213,473460,EDCS-10101053,HD034434,1,50,,,,,M(arcus) Titius M(arci) f(ilius) S[er]/gia domo Isinda / eques leg(ionis) VII anno[r(um)] / XXXV stipend(iorum) X[---] / ex testament(o) fi[eri] / iussit arbitr[atu] / L(uci) Gelli M(arci) f(ili) Serg[ia],Marcus Titius Marci filius Sergia domo Isinda eques legionis VII annorum XXXV stipendiorum X ex testamento fieri iussit arbitratu Luci Gelli Marci fili Sergia,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, praenomen et nomen, viri",43.5384,16.4743,1
474,6393,474845,EDCS-26600674,HD051073,1,50,,,,,Cn(aeus) Magius Cn(aei) f(ilius) / Palat(ina) veteranus / s(itus),Cnaeus Magius Cnaei filius Palatina veteranus situs,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Vid / Narona,Narona,Metković,"milites, praenomen et nomen, viri",43.0801,17.625,1
475,6396,474848,EDCS-27500162,HD053445,1,50,,,,,L(ucius) Riccius L(uci) f(ilius) Vel(ina) / Pessinunte ann(orum) LX vet(eranus) / Marcia Maxima uxor / L(ucius) Riccius L(uci) f(ilius) Valens / L(ucius) Riccius L(uci) f(ilius) Gallus / Riccia L(uci) [f(ilia)] Bulla / h(ic) s(iti) s(unt) / L(ucius) Atilius L(uci) f(ilius) Vel(ina) veter(anus) leg(ionis) VII / avunculo suo posuit et sibi,Lucius Riccius Luci filius Velina Pessinunte annorum LX veteranus Marcia Maxima uxor Lucius Riccius Luci filius Valens Lucius Riccius Luci filius Gallus Riccia Luci filia Bulla hic siti sunt Lucius Atilius Luci filius Velina veteranus legionis VII avunculo suo posuit et sibi,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Vid / Narona,Narona,Čapljina,"milites, mulieres, praenomen et nomen, viri",43.0645,17.6884,1
487,6731,475190,EDCS-28400162,HD060142,1,50,,,,,C(aio) Allio T(iti) f(ilio) Fab(ia) Luc(o) / veter(ano) leg(ionis) XX / C(aio) Allio Prisco f(ilio) / ann(orum) X Allia C(ai) l(iberta) Mete / patrono et filio / viva b(e)ne merenti / in fronte p(edes) [X in agr(o)] p(edes) XVI / et C(aio) Allio Vi[tal]i fil[i]o,Caio Allio Titi filio Fabia Luco veterano legionis XX Caio Allio Prisco filio annorum X Allia Cai liberta Mete patrono et filio viva bene merenti in fronte pedes X in agro pedes XVI et Caio Allio Vitali filio,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Zadar / Iader,Iader,Zadar,"liberti/libertae, milites, mulieres, praenomen et nomen, tria nomina, viri",44.115501,15.223778,1
496,6851,475312,EDCS-10000900,HD018007,1,50,,,,,Stieu Barn/ainu f(ilius) domo / Ber(o)ea annor(um) / XXX miles / coh(ortis) II Crest/ar(um) stipen[dio]/[rum ------,Stieu Barnainu filius domo Beroea annorum XXX miles cohortis II Crestarum stipendiorum,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Zadar / Iader,Iader,Zadar,"milites, nomen singulare, viri",44.115501,15.223778,1
497,6860,475321,EDCS-10000911,HD034570,1,50,,,,,L(ucio) Caleio benef/iciario / L(ucius) Valerius Car/idus dec(urio) equi/tum de s(uo) fecit,Lucio Caleio beneficiario Lucius Valerius Caridus decurio equitum de suo fecit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Zadar / Iader,Iader,Zadar,"milites, praenomen et nomen, tria nomina, viri",44.115501,15.223778,1
259,2948,470961,EDCS-27601621,HD054437,41,54,,,,,T(itus) Fuficius C(ai) f(ilius) Pol(lia) vet(eranus) leg(ionis) XX // T(itus) Fuficius T(iti) l(ibertus) Privatus / Fuficia |(mulieris) l(iberta) Prisca Fuficia T(iti) l(iberta) Prima,Titus Fuficius Cai filius Pollia veteranus legionis XX Titus Fuficius Titi libertus Privatus Fuficia mulieris liberta Prisca Fuficia Titi liberta Prima,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"liberti/libertae, milites, mulieres, praenomen et nomen, tria nomina, viri",43.5384,16.4743,1
